,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
22266,22266,983.789,988.789,0.0,0.0,0.0,0.0016462308,7.449518e-21,0.0,0.0,0.99835384,surprise,1b6685ef.csv
22267,22267,988.789,993.789,0.0,0.0,0.0,0.69634724,8.623774e-12,0.0,0.0,0.30365276,fear,1b6685ef.csv
22270,22270,1003.789,1008.789,0.0,0.0,0.0,0.9999999,1.3736818e-07,0.0,0.0,6.257697e-12,fear,1b6685ef.csv
22271,22271,1008.789,1013.789,0.0,0.0,0.0,0.9964647,0.0035352695,0.0,0.0,1.6665712e-13,fear,1b6685ef.csv
22272,22272,1013.789,1018.789,0.0,0.0,0.0,0.9621314,1.7917461e-09,0.0,0.0,0.03786858,fear,1b6685ef.csv
22273,22273,1018.789,1023.789,0.0,0.0,0.0,0.62165123,1.7981878e-10,0.0,0.0,0.3783487,fear,1b6685ef.csv
22274,22274,1023.789,1028.789,0.0,0.0,0.0,0.7971466,1.77337e-12,0.0,0.0,0.20285341,fear,1b6685ef.csv
22276,22276,1033.789,1038.789,0.0,0.0,0.0,0.7291963,6.890598e-05,0.0,8.65695e-22,0.2707348,fear,1b6685ef.csv
22282,22282,1063.789,1068.789,0.0,0.0,0.0,0.6866225,1.1643853e-11,0.0,0.0,0.3133775,fear,1b6685ef.csv
22283,22283,1068.789,1073.789,0.0,0.0,0.0,0.6492721,2.1394097e-13,0.0,0.0,0.350728,fear,1b6685ef.csv
22286,22286,1083.789,1088.789,0.0,0.0,0.0,0.9999999,1.2967463e-07,0.0,0.0,7.838526e-16,fear,1b6685ef.csv
30970,30970,2321.41,2326.41,0.0,0.0,0.0,1.0,7.457523e-09,0.0,0.0,0.0,fear,26a8ac59.csv
40980,40980,35.0,40.0,0.0,0.0,0.0,1.0,2.1819983e-11,0.0,0.0,0.0,fear,31a9d3e8.csv
40995,40995,110.0,115.0,0.0,0.0,0.0,0.68641335,0.31358662,0.0,3.0627154e-33,1.6980357e-13,fear,31a9d3e8.csv
41008,41008,175.0,180.0,0.0,0.0,0.0,1.7207872e-11,1.407213e-20,0.0,1.3961605e-13,1.0,surprise,31a9d3e8.csv
41025,41025,260.0,265.0,0.0,0.0,0.0,1.1668319e-06,3.418895e-07,2.974872e-37,1.0217587e-10,0.99999845,surprise,31a9d3e8.csv
41074,41074,505.0,510.0,0.0,0.0,0.0,0.7186221,0.001181684,0.0,8.103868399999999e-20,0.28019622,fear,31a9d3e8.csv
41078,41078,525.0,530.0,0.0,0.0,0.0,1.0,3.3390158e-13,0.0,0.0,1.1171855e-31,fear,31a9d3e8.csv
41080,41080,535.0,540.0,0.0,0.0,0.0,0.9835053,0.016492508,0.0,4.133017e-27,2.2524491e-06,fear,31a9d3e8.csv
41085,41085,560.0,565.0,0.0,0.0,0.0,0.67854416,0.32145584,0.0,0.0,3.4266023e-12,fear,31a9d3e8.csv
41096,41096,615.0,620.0,0.0,0.0,0.0,0.99999785,1.4971897e-06,0.0,6.215580999999999e-36,6.1005113e-07,fear,31a9d3e8.csv
41102,41102,645.0,650.0,0.0,0.0,0.0,6.6814505e-09,7.386754e-35,0.0,1.5072127e-17,1.0,surprise,31a9d3e8.csv
41115,41115,710.0,715.0,0.0,0.0,0.0,0.99250597,0.007493607,0.0,5.0913613e-29,3.2731083e-07,fear,31a9d3e8.csv
41118,41118,725.0,730.0,0.0,0.0,0.0,0.8596044,9.9077704e-05,0.0,3.9204295e-27,0.14029644,fear,31a9d3e8.csv
41128,41128,775.0,780.0,0.0,0.0,0.0,0.5604589,7.9213794e-05,0.0,1.866379e-29,0.43946183,fear,31a9d3e8.csv
41129,41129,780.0,785.0,0.0,3.5931873e-24,3.9133507e-38,0.2451758,0.6212381,2.6809890000000003e-23,7.873581e-09,0.1335861,happy,31a9d3e8.csv
41138,41138,825.0,830.0,0.0,0.0,0.0,0.99134254,0.008435021,3.8992768e-33,1.0394584e-09,0.00022241565,fear,31a9d3e8.csv
41139,41139,830.0,835.0,0.0,0.0,0.0,0.9986683,0.0013311551,0.0,1.4099772e-22,6.1168225e-07,fear,31a9d3e8.csv
41140,41140,835.0,840.0,0.0,0.0,0.0,3.878929e-05,5.2726802e-17,0.0,4.7865874e-16,0.99996126,surprise,31a9d3e8.csv
41142,41142,845.0,850.0,0.0,1.9764923000000002e-21,0.0,0.7924082,0.105953194,5.4504710000000005e-27,2.3048395e-08,0.101638556,fear,31a9d3e8.csv
41143,41143,850.0,855.0,0.0,0.0,0.0,3.0792962e-06,0.9999969,0.0,0.0,3.9958118e-38,happy,31a9d3e8.csv
41144,41144,855.0,860.0,0.0,0.0,0.0,0.9999567,1.2340393e-05,0.0,2.6968088e-35,3.0930096e-05,fear,31a9d3e8.csv
57958,57958,822.352,827.352,0.0,0.0,0.0,6.967085e-14,2.6374440000000002e-23,0.0,8.107581e-16,1.0,surprise,45e6e768.csv
58120,58120,1632.352,1637.352,0.0,0.0,0.0,1.8358743e-23,3.919153e-37,0.0,4.4820203e-27,1.0,surprise,45e6e768.csv
107633,107633,35.0,40.0,0.0,0.0,3.1210602e-15,3.1685558e-06,4.974479e-16,3.289502e-10,0.9999968,0.0,sad,81b77b75.csv
109609,109609,993.862,998.862,0.0,0.0,0.0,0.062156692,0.9378433,0.0,0.0,6.528934999999999e-19,happy,83957185.csv
114076,114076,1066.868,1071.868,0.0,0.0,0.0,8.805866500000001e-24,1.0,0.0,0.0,0.0,happy,8ab32d15.csv
114077,114077,1071.868,1076.868,0.0,0.0,0.0,6.274450000000001e-32,1.0,0.0,0.0,0.0,happy,8ab32d15.csv
114078,114078,1076.868,1081.868,0.0,0.0,0.0,5.889414e-35,1.0,0.0,0.0,0.0,happy,8ab32d15.csv
114252,114252,1946.868,1951.868,0.0,0.0,0.0,4.1586635e-30,1.0,0.0,0.0,0.0,happy,8ab32d15.csv
178447,178447,665.0,670.0,0.0,0.0,0.0,3.9814523e-12,1.6852474e-21,0.0,2.0194066e-13,1.0,surprise,d2b247f4.csv
194834,194834,799.767,804.767,0.0,0.0,0.0,0.0024653208,0.99753463,0.0,3.357699e-26,1.08012325e-16,happy,e0c9c7f5.csv
194835,194835,804.767,809.767,0.0,0.0,0.0,0.998279,0.0017210878,0.0,0.0,2.7557294e-13,fear,e0c9c7f5.csv
194865,194865,954.767,959.767,0.0,0.0,0.0,0.9990231,1.3361163e-08,0.0,3.2215547000000002e-22,0.0009769353,fear,e0c9c7f5.csv
194866,194866,959.767,964.767,0.0,0.0,0.0,1.8132447e-33,1.0,0.0,0.0,0.0,happy,e0c9c7f5.csv
194868,194868,969.767,974.767,0.0,0.0,0.0,0.8927415,0.10725855,0.0,0.0,2.1871858e-27,fear,e0c9c7f5.csv
194871,194871,984.767,989.767,0.0,0.0,0.0,8.894576e-08,0.9999999,0.0,0.0,0.0,happy,e0c9c7f5.csv
194874,194874,999.767,1004.767,0.0,0.0,0.0,0.6370087,4.852805e-06,2.3569622e-38,7.470688e-09,0.36298642,fear,e0c9c7f5.csv
194939,194939,1324.767,1329.767,0.0,0.0,0.0,0.99999905,9.3353543e-07,0.0,0.0,2.1508273e-12,fear,e0c9c7f5.csv
194940,194940,1329.767,1334.767,0.0,0.0,0.0,0.99999416,5.5276314e-06,0.0,0.0,3.9387072e-07,fear,e0c9c7f5.csv
194952,194952,1389.767,1394.767,0.0,0.0,0.0,0.99997866,2.1323487e-05,0.0,1.1011759e-25,7.936658e-16,fear,e0c9c7f5.csv
202783,202783,724.046,729.046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,eafd1d00.csv
202785,202785,734.046,739.046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,eafd1d00.csv
202927,202927,1444.046,1449.046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,eafd1d00.csv
