,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
17,17,460.15,465.15,0.9930233,0.0,0.00021294216,1.9082058e-06,0.006761834,2.3176107e-15,4.1837472e-17,1.3775432e-19,angry,0040f316.csv
99,99,870.15,875.15,0.99898714,0.0,5.169351e-06,2.2739297e-08,0.0010077391,5.285198700000001e-16,2.7046913000000002e-17,5.2511845e-20,angry,0040f316.csv
100,100,875.15,880.15,0.99955934,0.0,1.1332961e-06,4.1439944e-06,0.00043528783,1.5474511e-15,5.386092e-16,4.7206966e-18,angry,0040f316.csv
101,101,880.15,885.15,0.9995894,0.0,5.4735715e-06,3.472701e-09,0.00040508973,3.8455513e-16,3.8167276e-18,9.376692999999998e-19,angry,0040f316.csv
207,207,1410.15,1415.15,6.291127e-08,0.0,1.0583762e-09,0.9606535,0.039346315,1.0302417e-11,8.627092e-08,2.1685617e-14,fear,0040f316.csv
697,697,539.881,544.881,0.9996049,0.0,6.8226796e-06,2.0147689e-10,0.0003883614,1.6849483e-13,1.0033318999999998e-18,2.1644694e-17,angry,00fb696a.csv
710,710,604.881,609.881,0.49393755,0.0,0.0005860266,1.7102895e-10,0.5054764,2.5370357e-16,3.5154550000000003e-22,8.363195e-24,happy,00fb696a.csv
717,717,639.881,644.881,0.9992144,0.0,0.00011045695,1.857963e-10,0.0006751593,3.2072543e-14,1.410283e-18,1.4696583999999998e-20,angry,00fb696a.csv
724,724,674.881,679.881,0.6399851,0.0,1.0267976e-06,3.159714e-08,0.36001393,4.853517999999999e-19,3.0485568000000007e-21,4.7472627e-17,angry,00fb696a.csv
726,726,684.881,689.881,0.998206,0.0,7.391421e-07,1.8526768e-08,0.001793264,1.615137e-17,2.9778251e-19,8.311679e-15,angry,00fb696a.csv
731,731,709.881,714.881,0.9781714,0.0,1.7841849e-08,1.7881222e-09,0.021828648,7.895531000000001e-23,1.7979992e-24,1.03383275e-23,angry,00fb696a.csv
732,732,714.881,719.881,0.98506397,0.0,0.0015113794,4.4251017e-08,0.013424519,1.1811349e-11,2.7807816e-15,2.5106353000000004e-16,angry,00fb696a.csv
735,735,729.881,734.881,0.9982256,0.0,2.436965e-06,0.0009913356,0.00078065624,1.33873794e-14,2.1755884e-16,7.345265e-20,angry,00fb696a.csv
742,742,764.881,769.881,0.9999851,0.0,5.911082e-06,2.8026539e-09,8.8970155e-06,1.225644e-08,8.660171e-21,9.152246e-26,angry,00fb696a.csv
745,745,779.881,784.881,0.995672,0.0,4.308183e-05,3.4869217e-08,0.0042849174,4.84651e-14,6.105366699999999e-18,6.391629e-20,angry,00fb696a.csv
748,748,794.881,799.881,0.99998355,0.0,1.0609133e-08,1.6742089e-09,1.6464557e-05,4.7096185e-19,3.0900443e-20,7.413971000000001e-17,angry,00fb696a.csv
749,749,799.881,804.881,0.14322682,0.0,6.8389585e-07,0.007564467,0.84920806,5.6072806e-13,4.7479603e-12,1.9785056e-11,happy,00fb696a.csv
751,751,809.881,814.881,0.99999774,0.0,9.791223e-07,1.722629e-11,1.3443406e-06,7.0011944e-15,1.8336803000000001e-22,6.2196480000000005e-25,angry,00fb696a.csv
754,754,824.881,829.881,0.99999785,0.0,4.3916577e-07,2.6452034e-14,1.6819042e-06,1.4832586e-18,4.4255087e-25,7.125855e-26,angry,00fb696a.csv
758,758,844.881,849.881,1.0,0.0,3.5780094e-12,6.0416895e-14,1.6305689e-09,1.1462954e-23,7.6588546e-29,1.3943554e-29,angry,00fb696a.csv
759,759,849.881,854.881,0.041072994,0.0,1.3906333e-07,2.623482e-06,0.95892423,4.353445e-19,1.4518509e-17,3.3046764e-15,happy,00fb696a.csv
760,760,854.881,859.881,0.9993414,0.0,1.533652e-07,4.2637867e-09,0.00065845164,3.2389686000000003e-17,1.8336553e-18,8.5868706e-17,angry,00fb696a.csv
761,761,859.881,864.881,1.0,0.0,1.4929302e-09,3.4655015e-18,3.933192e-08,3.0854228e-25,2.7125315e-31,8.906288e-27,angry,00fb696a.csv
762,762,864.881,869.881,0.99999547,0.0,4.3259862e-09,1.3220888e-10,4.549866e-06,1.093812e-20,3.6261424e-22,4.1044053e-19,angry,00fb696a.csv
783,783,969.881,974.881,4.945978e-07,0.0,8.3031416e-08,0.9956168,0.0043804254,1.5213624e-09,2.174554e-06,3.775819e-14,fear,00fb696a.csv
803,803,1069.881,1074.881,6.0651095e-10,0.0,1.1275885e-08,0.99998724,1.8062203e-06,1.2704536e-09,1.09028915e-05,1.4841916000000003e-21,fear,00fb696a.csv
805,805,1079.881,1084.881,0.9964964,0.0,0.0002877022,3.2028832e-10,0.0032158785,2.4938736e-15,1.4542507999999998e-18,5.975324e-17,angry,00fb696a.csv
819,819,1149.881,1154.881,0.00028596987,0.0,9.699987e-09,0.9950152,0.004698779,2.776904e-13,5.4799956e-09,2.0688997e-14,fear,00fb696a.csv
821,821,1159.881,1164.881,7.9570656e-11,0.0,5.4634132e-08,0.9999882,1.0307648e-05,1.0200087e-06,4.2041543e-07,1.4176912e-29,fear,00fb696a.csv
826,826,1184.881,1189.881,3.1308265e-11,0.0,5.016658e-13,0.9999968,3.2309083e-06,1.0656083e-15,5.406489e-11,6.033893999999999e-26,fear,00fb696a.csv
828,828,1194.881,1199.881,1.9668997e-07,0.0,2.1088794e-11,0.9999865,1.3226049e-05,1.5570734e-15,1.03311644e-10,2.9351948e-20,fear,00fb696a.csv
