,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
13130,13130,981.752,986.752,3.1695905e-13,0.0,0.0,0.99975663,0.00024332308,0.0,0.0,1.6410637000000002e-27,fear,1010e420.csv
22266,22266,983.789,988.789,0.0,0.0,0.0,0.0016462308,7.449518e-21,0.0,0.0,0.99835384,surprise,1b6685ef.csv
22267,22267,988.789,993.789,0.0,0.0,0.0,0.69634724,8.623774e-12,0.0,0.0,0.30365276,fear,1b6685ef.csv
22268,22268,993.789,998.789,4.5572545e-23,0.0,0.0,0.036946595,0.96305335,0.0,0.0,3.5892434e-19,happy,1b6685ef.csv
22269,22269,998.789,1003.789,5.5803e-35,0.0,0.0,0.680145,0.31985497,0.0,0.0,2.2412444e-18,fear,1b6685ef.csv
22270,22270,1003.789,1008.789,0.0,0.0,0.0,0.9999999,1.3736818e-07,0.0,0.0,6.257697e-12,fear,1b6685ef.csv
22271,22271,1008.789,1013.789,0.0,0.0,0.0,0.9964647,0.0035352695,0.0,0.0,1.6665712e-13,fear,1b6685ef.csv
22272,22272,1013.789,1018.789,0.0,0.0,0.0,0.9621314,1.7917461e-09,0.0,0.0,0.03786858,fear,1b6685ef.csv
22273,22273,1018.789,1023.789,0.0,0.0,0.0,0.62165123,1.7981878e-10,0.0,0.0,0.3783487,fear,1b6685ef.csv
22274,22274,1023.789,1028.789,0.0,0.0,0.0,0.7971466,1.77337e-12,0.0,0.0,0.20285341,fear,1b6685ef.csv
22275,22275,1028.789,1033.789,4.789918e-33,0.0,0.0,0.7607177,3.389349e-08,0.0,6.7707364e-32,0.23928232,fear,1b6685ef.csv
22276,22276,1033.789,1038.789,0.0,0.0,0.0,0.7291963,6.890598e-05,0.0,8.65695e-22,0.2707348,fear,1b6685ef.csv
22277,22277,1038.789,1043.789,1.2675889e-35,0.0,0.0,0.8465884,1.4414251e-06,0.0,8.8320223e-23,0.15341026,fear,1b6685ef.csv
22278,22278,1043.789,1048.789,7.408663e-23,0.0,0.0,0.9966743,0.0033240968,1.221058e-37,6.697726e-20,1.5030255e-06,fear,1b6685ef.csv
22282,22282,1063.789,1068.789,0.0,0.0,0.0,0.6866225,1.1643853e-11,0.0,0.0,0.3133775,fear,1b6685ef.csv
22283,22283,1068.789,1073.789,0.0,0.0,0.0,0.6492721,2.1394097e-13,0.0,0.0,0.350728,fear,1b6685ef.csv
22284,22284,1073.789,1078.789,1.4841004e-26,0.0,0.0,0.0050295666,0.9949705,0.0,0.0,7.152740699999999e-23,happy,1b6685ef.csv
22285,22285,1078.789,1083.789,3.352458e-21,0.0,0.0,0.0716314,0.9283686,0.0,0.0,2.699384e-27,happy,1b6685ef.csv
22286,22286,1083.789,1088.789,0.0,0.0,0.0,0.9999999,1.2967463e-07,0.0,0.0,7.838526e-16,fear,1b6685ef.csv
30895,30895,1946.41,1951.41,7.733266000000001e-32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,26a8ac59.csv
30970,30970,2321.41,2326.41,0.0,0.0,0.0,1.0,7.457523e-09,0.0,0.0,0.0,fear,26a8ac59.csv
34843,34843,155.0,160.0,1.0,0.0,0.0,4.3593617e-20,5.726431e-11,0.0,0.0,0.0,angry,2bceb1c0.csv
34844,34844,160.0,165.0,1.0,0.0,0.0,1.2552348e-13,2.5808908e-09,0.0,0.0,0.0,angry,2bceb1c0.csv
40980,40980,35.0,40.0,0.0,0.0,0.0,1.0,2.1819983e-11,0.0,0.0,0.0,fear,31a9d3e8.csv
40981,40981,40.0,45.0,6.0854007e-31,0.0,0.0,0.9994548,0.00052846904,4.7660963e-37,1.131775e-11,1.671324e-05,fear,31a9d3e8.csv
40984,40984,55.0,60.0,4.098865e-36,0.0,0.0,0.0,1.0,0.0,0.0,5.1619746e-15,happy,31a9d3e8.csv
40995,40995,110.0,115.0,0.0,0.0,0.0,0.68641335,0.31358662,0.0,3.0627154e-33,1.6980357e-13,fear,31a9d3e8.csv
40999,40999,130.0,135.0,1.2792970000000001e-33,0.0,0.0,0.96435136,0.023229986,0.0,2.8010961e-16,0.0124186445,fear,31a9d3e8.csv
41008,41008,175.0,180.0,0.0,0.0,0.0,1.7207872e-11,1.407213e-20,0.0,1.3961605e-13,1.0,surprise,31a9d3e8.csv
41025,41025,260.0,265.0,0.0,0.0,0.0,1.1668319e-06,3.418895e-07,2.974872e-37,1.0217587e-10,0.99999845,surprise,31a9d3e8.csv
41028,41028,275.0,280.0,1.7359470999999998e-25,0.0,0.0,0.5114688,0.4885271,0.0,1.2741302e-20,4.058292e-06,fear,31a9d3e8.csv
41033,41033,300.0,305.0,2.0177546e-13,0.0,0.0,1.705484e-07,0.9999999,0.0,0.0,0.0,happy,31a9d3e8.csv
41055,41055,410.0,415.0,2.4063272e-27,0.0,0.0,0.7081753,0.2918202,0.0,2.313143e-21,4.492869e-06,fear,31a9d3e8.csv
41074,41074,505.0,510.0,0.0,0.0,0.0,0.7186221,0.001181684,0.0,8.103868399999999e-20,0.28019622,fear,31a9d3e8.csv
41075,41075,510.0,515.0,2.0804883e-30,0.0,0.0,0.89068615,0.10903973,0.0,1.6344028000000002e-22,0.00027400756,fear,31a9d3e8.csv
41077,41077,520.0,525.0,2.3307460000000003e-31,0.0,0.0,0.93770295,0.062121432,4.4586989999999995e-34,1.379707e-13,0.00017557951,fear,31a9d3e8.csv
41078,41078,525.0,530.0,0.0,0.0,0.0,1.0,3.3390158e-13,0.0,0.0,1.1171855e-31,fear,31a9d3e8.csv
41080,41080,535.0,540.0,0.0,0.0,0.0,0.9835053,0.016492508,0.0,4.133017e-27,2.2524491e-06,fear,31a9d3e8.csv
41085,41085,560.0,565.0,0.0,0.0,0.0,0.67854416,0.32145584,0.0,0.0,3.4266023e-12,fear,31a9d3e8.csv
41095,41095,610.0,615.0,1.1884264e-18,0.0,0.0,0.99598867,0.0040112967,0.0,6.621911999999999e-26,1.4174575e-19,fear,31a9d3e8.csv
41096,41096,615.0,620.0,0.0,0.0,0.0,0.99999785,1.4971897e-06,0.0,6.215580999999999e-36,6.1005113e-07,fear,31a9d3e8.csv
41102,41102,645.0,650.0,0.0,0.0,0.0,6.6814505e-09,7.386754e-35,0.0,1.5072127e-17,1.0,surprise,31a9d3e8.csv
41105,41105,660.0,665.0,1.632752e-33,0.0,0.0,0.9979038,0.002096235,0.0,0.0,4.6207446e-14,fear,31a9d3e8.csv
41109,41109,680.0,685.0,1.6118431e-13,0.0,0.0,0.02713618,0.97286385,0.0,5.1317584e-31,2.362283e-20,happy,31a9d3e8.csv
41114,41114,705.0,710.0,4.6352145e-25,0.0,0.0,9.4004514e-36,1.0,0.0,0.0,5.02171e-13,happy,31a9d3e8.csv
41115,41115,710.0,715.0,0.0,0.0,0.0,0.99250597,0.007493607,0.0,5.0913613e-29,3.2731083e-07,fear,31a9d3e8.csv
41118,41118,725.0,730.0,0.0,0.0,0.0,0.8596044,9.9077704e-05,0.0,3.9204295e-27,0.14029644,fear,31a9d3e8.csv
41128,41128,775.0,780.0,0.0,0.0,0.0,0.5604589,7.9213794e-05,0.0,1.866379e-29,0.43946183,fear,31a9d3e8.csv
