,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
16087,16087,427.083,432.083,1.0,0.0,1.6483205e-28,0.0,8.642581e-28,0.0,0.0,0.0,angry,14c01285.csv
30895,30895,1946.41,1951.41,7.733266000000001e-32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,26a8ac59.csv
38148,38148,1617.73,1622.73,1.0,0.0,1.4462542000000002e-22,0.0,2.0919265e-25,0.0,0.0,0.0,angry,2e7ccf3f.csv
38149,38149,1622.73,1627.73,1.0,0.0,3.3928335e-28,0.0,1.2893766e-21,0.0,0.0,0.0,angry,2e7ccf3f.csv
40984,40984,55.0,60.0,4.098865e-36,0.0,0.0,0.0,1.0,0.0,0.0,5.1619746e-15,happy,31a9d3e8.csv
41148,41148,875.0,880.0,3.2126046e-26,0.0,0.0,0.0,1.0,0.0,0.0,1.9859018e-23,happy,31a9d3e8.csv
41791,41791,701.342,706.342,1.0,0.0,0.0,0.0,1.526751e-14,0.0,0.0,0.0,angry,31f57fbd.csv
41823,41823,861.342,866.342,0.99999964,0.0,3.494142e-28,0.0,3.3653996e-07,0.0,0.0,0.0,angry,31f57fbd.csv
41884,41884,1166.342,1171.342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,31f57fbd.csv
41919,41919,576.0219999999999,581.0219999999999,0.6063127,0.0,5.633222e-32,0.0,0.39368728,0.0,0.0,0.0,angry,322798ae.csv
62273,62273,1490.89,1495.89,1.0,0.0,0.0,0.0,1.8505458e-26,0.0,0.0,0.0,angry,4cc70216.csv
76377,76377,892.97,897.97,1.0,0.0,0.0,0.0,7.1665175e-18,0.0,0.0,0.0,angry,5efd33fd.csv
76394,76394,977.97,982.97,1.0,0.0,0.0,0.0,2.1404412e-17,0.0,0.0,0.0,angry,5efd33fd.csv
77465,77465,496.512,501.512,1.0,0.0,6.562979000000001e-27,0.0,1.2460262000000002e-22,0.0,0.0,0.0,angry,60781142.csv
81982,81982,387.425,392.425,1.0,0.0,2.6200357e-23,0.0,1.8004307e-19,0.0,0.0,0.0,angry,6517fbdb.csv
83928,83928,528.58,533.58,1.0,0.0,1.7559342e-20,0.0,3.5175597e-21,0.0,0.0,0.0,angry,680f6c90.csv
83940,83940,588.58,593.58,1.0,0.0,4.860121e-28,0.0,2.5638858e-31,0.0,0.0,0.0,angry,680f6c90.csv
83949,83949,633.58,638.58,1.0,0.0,4.7779443e-23,0.0,2.1772264e-18,0.0,0.0,0.0,angry,680f6c90.csv
83951,83951,643.58,648.58,1.0,0.0,2.9705471e-28,0.0,1.6122768e-27,0.0,0.0,0.0,angry,680f6c90.csv
83955,83955,663.58,668.58,1.0,0.0,2.7379396000000004e-38,0.0,3.6621e-26,0.0,0.0,0.0,angry,680f6c90.csv
83997,83997,873.58,878.58,1.0,0.0,2.0712552000000003e-27,0.0,3.0212785e-27,0.0,0.0,0.0,angry,680f6c90.csv
84049,84049,1133.58,1138.58,1.0,0.0,2.4485976e-30,0.0,1.3505413000000002e-32,0.0,0.0,0.0,angry,680f6c90.csv
84525,84525,1093.992,1098.992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,683813ca.csv
108739,108739,791.325,796.325,1.0,0.0,7.241456e-26,0.0,1.4980018e-24,0.0,0.0,0.0,angry,826309e2.csv
111269,111269,275.0,280.0,1.0,0.0,1.768183e-18,0.0,1.6823603e-17,0.0,0.0,0.0,angry,85f4e334.csv
111274,111274,300.0,305.0,1.0,0.0,1.2339667999999998e-18,0.0,7.084366e-21,0.0,0.0,0.0,angry,85f4e334.csv
111309,111309,475.0,480.0,1.0,0.0,1.3132937000000002e-28,0.0,3.3739694e-25,0.0,0.0,0.0,angry,85f4e334.csv
111312,111312,490.0,495.0,1.0,0.0,3.904785e-28,0.0,2.3102995e-27,0.0,0.0,0.0,angry,85f4e334.csv
111319,111319,525.0,530.0,1.0,0.0,2.0781316e-28,0.0,3.598264e-25,0.0,0.0,0.0,angry,85f4e334.csv
111327,111327,565.0,570.0,1.0,0.0,0.0,0.0,1.4766513e-10,0.0,0.0,0.0,angry,85f4e334.csv
111340,111340,630.0,635.0,1.0,0.0,7.4112387e-09,0.0,6.987294e-12,0.0,0.0,0.0,angry,85f4e334.csv
111345,111345,655.0,660.0,1.0,0.0,5.5714662e-24,0.0,3.4679728e-19,0.0,0.0,0.0,angry,85f4e334.csv
111347,111347,665.0,670.0,1.0,0.0,1.1859317e-22,0.0,1.5105704e-22,0.0,0.0,0.0,angry,85f4e334.csv
122904,122904,104.85799999999998,109.85799999999998,1.0,0.0,0.0,0.0,7.262488e-24,0.0,0.0,0.0,angry,950c03f7.csv
122924,122924,204.858,209.858,1.0,0.0,3.3471495e-26,0.0,9.063606e-27,0.0,0.0,0.0,angry,950c03f7.csv
122925,122925,209.858,214.858,1.0,0.0,2.410809e-16,0.0,4.0299668e-20,0.0,0.0,0.0,angry,950c03f7.csv
122926,122926,214.858,219.858,1.0,0.0,0.0,0.0,5.079138e-29,0.0,0.0,0.0,angry,950c03f7.csv
122944,122944,304.85799999999995,309.85799999999995,1.0,0.0,2.2530603e-24,0.0,1.7127037999999998e-25,0.0,0.0,0.0,angry,950c03f7.csv
122949,122949,329.85799999999995,334.85799999999995,1.0,0.0,0.0,0.0,2.1726195e-35,0.0,0.0,0.0,angry,950c03f7.csv
