,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
41884,41884,1166.342,1171.342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,31f57fbd.csv
84525,84525,1093.992,1098.992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,683813ca.csv
137523,137523,820.4639999999999,825.4639999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,a76746eb.csv
137612,137612,1265.464,1270.464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,a76746eb.csv
155207,155207,35.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155214,155214,70.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155228,155228,140.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155231,155231,155.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155253,155253,265.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155282,155282,410.0,415.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155286,155286,430.0,435.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155287,155287,435.0,440.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155293,155293,465.0,470.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155301,155301,505.0,510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155315,155315,575.0,580.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155317,155317,585.0,590.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155322,155322,610.0,615.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155323,155323,615.0,620.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
155324,155324,620.0,625.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,ba3edd0d.csv
184088,184088,2275.5,2280.5,1.0,0.0,7.648029e-35,0.0,0.0,0.0,0.0,0.0,angry,d77cb19c.csv
202909,202909,1354.046,1359.046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,eafd1d00.csv
206455,206455,88.881,93.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206461,206461,118.881,123.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206487,206487,248.881,253.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206498,206498,303.881,308.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206534,206534,483.881,488.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206541,206541,518.881,523.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206543,206543,528.881,533.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206582,206582,723.881,728.881,1.0,0.0,4.0087442e-36,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206591,206591,768.881,773.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206595,206595,788.881,793.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206632,206632,973.881,978.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206645,206645,1038.881,1043.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206646,206646,1043.881,1048.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
206647,206647,1048.881,1053.881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,f035711e.csv
216442,216442,1310.195,1315.195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,fadad43f.csv
216448,216448,1340.195,1345.195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,fadad43f.csv
