,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
2406,2406,975.851,980.851,1.0,0.0,2.193927e-17,5.3237336e-18,6.716133e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2465,2465,1270.851,1275.851,1.0,0.0,3.6709105e-19,3.610062e-24,7.014351e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2509,2509,1490.851,1495.851,0.99999416,0.0,5.1248546e-18,4.8525860000000015e-22,5.883426e-06,0.0,0.0,0.0,angry,01e3fca1.csv
3959,3959,2448.03,2453.03,1.0,0.0,2.2802617000000002e-17,9.117099e-30,1.748364e-17,0.0,0.0,0.0,angry,030e54b0.csv
3964,3964,2473.03,2478.03,1.0,0.0,2.3976743000000002e-17,2.2345894000000003e-31,2.4864957e-13,0.0,0.0,0.0,angry,030e54b0.csv
6286,6286,2077.9700000000003,2082.9700000000003,1.0,0.0,4.1467278e-26,2.9969056000000004e-22,2.8751316000000003e-16,0.0,0.0,0.0,angry,07906e6c.csv
13130,13130,981.752,986.752,3.1695905e-13,0.0,0.0,0.99975663,0.00024332308,0.0,0.0,1.6410637000000002e-27,fear,1010e420.csv
14825,14825,1120.0,1125.0,1.0,0.0,2.0854302e-20,4.9978105e-25,3.108379e-16,0.0,0.0,0.0,angry,127e1f35.csv
16087,16087,427.083,432.083,1.0,0.0,1.6483205e-28,0.0,8.642581e-28,0.0,0.0,0.0,angry,14c01285.csv
16091,16091,447.083,452.083,1.0,0.0,7.916833499999999e-25,1.2805188e-29,1.046424e-17,0.0,0.0,0.0,angry,14c01285.csv
16684,16684,1372.96,1377.96,1.0,0.0,5.0082793000000004e-21,8.0098064e-28,3.0408407e-13,0.0,0.0,0.0,angry,15110616.csv
16697,16697,1437.96,1442.96,1.0,0.0,6.4425564e-17,5.558089599999998e-25,1.7228889e-15,0.0,0.0,0.0,angry,15110616.csv
16702,16702,1462.96,1467.96,1.0,0.0,1.6307182e-09,1.2532507e-33,1.05405285e-08,0.0,0.0,0.0,angry,15110616.csv
22266,22266,983.789,988.789,0.0,0.0,0.0,0.0016462308,7.449518e-21,0.0,0.0,0.99835384,surprise,1b6685ef.csv
22267,22267,988.789,993.789,0.0,0.0,0.0,0.69634724,8.623774e-12,0.0,0.0,0.30365276,fear,1b6685ef.csv
22268,22268,993.789,998.789,4.5572545e-23,0.0,0.0,0.036946595,0.96305335,0.0,0.0,3.5892434e-19,happy,1b6685ef.csv
22269,22269,998.789,1003.789,5.5803e-35,0.0,0.0,0.680145,0.31985497,0.0,0.0,2.2412444e-18,fear,1b6685ef.csv
22270,22270,1003.789,1008.789,0.0,0.0,0.0,0.9999999,1.3736818e-07,0.0,0.0,6.257697e-12,fear,1b6685ef.csv
22271,22271,1008.789,1013.789,0.0,0.0,0.0,0.9964647,0.0035352695,0.0,0.0,1.6665712e-13,fear,1b6685ef.csv
22272,22272,1013.789,1018.789,0.0,0.0,0.0,0.9621314,1.7917461e-09,0.0,0.0,0.03786858,fear,1b6685ef.csv
22273,22273,1018.789,1023.789,0.0,0.0,0.0,0.62165123,1.7981878e-10,0.0,0.0,0.3783487,fear,1b6685ef.csv
22274,22274,1023.789,1028.789,0.0,0.0,0.0,0.7971466,1.77337e-12,0.0,0.0,0.20285341,fear,1b6685ef.csv
22275,22275,1028.789,1033.789,4.789918e-33,0.0,0.0,0.7607177,3.389349e-08,0.0,6.7707364e-32,0.23928232,fear,1b6685ef.csv
22276,22276,1033.789,1038.789,0.0,0.0,0.0,0.7291963,6.890598e-05,0.0,8.65695e-22,0.2707348,fear,1b6685ef.csv
22277,22277,1038.789,1043.789,1.2675889e-35,0.0,0.0,0.8465884,1.4414251e-06,0.0,8.8320223e-23,0.15341026,fear,1b6685ef.csv
22282,22282,1063.789,1068.789,0.0,0.0,0.0,0.6866225,1.1643853e-11,0.0,0.0,0.3133775,fear,1b6685ef.csv
22283,22283,1068.789,1073.789,0.0,0.0,0.0,0.6492721,2.1394097e-13,0.0,0.0,0.350728,fear,1b6685ef.csv
22284,22284,1073.789,1078.789,1.4841004e-26,0.0,0.0,0.0050295666,0.9949705,0.0,0.0,7.152740699999999e-23,happy,1b6685ef.csv
22285,22285,1078.789,1083.789,3.352458e-21,0.0,0.0,0.0716314,0.9283686,0.0,0.0,2.699384e-27,happy,1b6685ef.csv
22286,22286,1083.789,1088.789,0.0,0.0,0.0,0.9999999,1.2967463e-07,0.0,0.0,7.838526e-16,fear,1b6685ef.csv
24348,24348,1414.278,1419.278,1.0,0.0,2.2704403000000007e-21,1.3123032e-19,1.0150853e-15,0.0,0.0,0.0,angry,1c85da55.csv
25191,25191,680.0,685.0,1.0,0.0,2.598831e-32,1.8191449000000002e-21,4.0244815e-13,0.0,0.0,0.0,angry,1dc386fc.csv
30895,30895,1946.41,1951.41,7.733266000000001e-32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,26a8ac59.csv
30970,30970,2321.41,2326.41,0.0,0.0,0.0,1.0,7.457523e-09,0.0,0.0,0.0,fear,26a8ac59.csv
31713,31713,1162.445,1167.445,1.0,0.0,9.46108e-19,2.3270087e-26,6.7372154e-14,0.0,0.0,0.0,angry,277e671d.csv
32020,32020,325.0,330.0,0.4919593,0.0,1.764176e-36,1.8021544e-33,0.50804067,0.0,0.0,0.0,happy,27dcb258.csv
34843,34843,155.0,160.0,1.0,0.0,0.0,4.3593617e-20,5.726431e-11,0.0,0.0,0.0,angry,2bceb1c0.csv
34844,34844,160.0,165.0,1.0,0.0,0.0,1.2552348e-13,2.5808908e-09,0.0,0.0,0.0,angry,2bceb1c0.csv
38138,38138,1567.73,1572.73,0.99999976,0.0,2.0313112e-25,5.458761e-33,1.9041202e-07,0.0,0.0,0.0,angry,2e7ccf3f.csv
38148,38148,1617.73,1622.73,1.0,0.0,1.4462542000000002e-22,0.0,2.0919265e-25,0.0,0.0,0.0,angry,2e7ccf3f.csv
38149,38149,1622.73,1627.73,1.0,0.0,3.3928335e-28,0.0,1.2893766e-21,0.0,0.0,0.0,angry,2e7ccf3f.csv
38160,38160,1677.73,1682.73,1.0,0.0,1.1868784e-13,5.7901955e-27,5.7140426e-09,0.0,0.0,0.0,angry,2e7ccf3f.csv
38161,38161,1682.73,1687.73,1.0,0.0,1.2453363e-16,1.4246089e-37,2.554504e-16,0.0,0.0,0.0,angry,2e7ccf3f.csv
38192,38192,1837.73,1842.73,1.0,0.0,1.5220625000000002e-16,1.02579545e-27,6.0220985e-17,0.0,0.0,0.0,angry,2e7ccf3f.csv
38620,38620,2563.9300000000003,2568.9300000000003,0.98815477,0.0,1.6622423e-17,8.661466e-21,0.011845164,0.0,0.0,0.0,angry,2ea6e4bc.csv
40980,40980,35.0,40.0,0.0,0.0,0.0,1.0,2.1819983e-11,0.0,0.0,0.0,fear,31a9d3e8.csv
40983,40983,50.0,55.0,2.5540172e-15,0.0,4.0836326e-28,3.8820435e-14,0.27730247,0.0,4.0483752e-29,0.7226975,surprise,31a9d3e8.csv
40984,40984,55.0,60.0,4.098865e-36,0.0,0.0,0.0,1.0,0.0,0.0,5.1619746e-15,happy,31a9d3e8.csv
40990,40990,85.0,90.0,1.757838e-12,0.0,1.5732704e-28,1.4223062e-30,1.0,0.0,0.0,1.9396896e-17,happy,31a9d3e8.csv
40995,40995,110.0,115.0,0.0,0.0,0.0,0.68641335,0.31358662,0.0,3.0627154e-33,1.6980357e-13,fear,31a9d3e8.csv
40999,40999,130.0,135.0,1.2792970000000001e-33,0.0,0.0,0.96435136,0.023229986,0.0,2.8010961e-16,0.0124186445,fear,31a9d3e8.csv
41000,41000,135.0,140.0,1.770277e-16,0.0,1.9543354e-33,3.695227e-21,0.9999505,0.0,7.5447407e-31,4.9475082e-05,happy,31a9d3e8.csv
41008,41008,175.0,180.0,0.0,0.0,0.0,1.7207872e-11,1.407213e-20,0.0,1.3961605e-13,1.0,surprise,31a9d3e8.csv
41026,41026,265.0,270.0,1.0,0.0,1.8659064e-11,1.5179897e-34,1.7208037e-11,0.0,0.0,0.0,angry,31a9d3e8.csv
41028,41028,275.0,280.0,1.7359470999999998e-25,0.0,0.0,0.5114688,0.4885271,0.0,1.2741302e-20,4.058292e-06,fear,31a9d3e8.csv
41033,41033,300.0,305.0,2.0177546e-13,0.0,0.0,1.705484e-07,0.9999999,0.0,0.0,0.0,happy,31a9d3e8.csv
41044,41044,355.0,360.0,5.0566186e-13,0.0,1.8115339e-29,3.3289580000000004e-23,1.0,0.0,9.048063e-34,2.8469287e-17,happy,31a9d3e8.csv
41045,41045,360.0,365.0,3.445428e-30,0.0,1.2128426e-35,4.334959e-11,0.9984706,0.0,5.0113745e-27,0.0015293814,happy,31a9d3e8.csv
41052,41052,395.0,400.0,2.4901331e-19,0.0,8.631821400000001e-32,5.6813940000000005e-25,1.0,0.0,1.5065869e-31,5.4532637e-12,happy,31a9d3e8.csv
41055,41055,410.0,415.0,2.4063272e-27,0.0,0.0,0.7081753,0.2918202,0.0,2.313143e-21,4.492869e-06,fear,31a9d3e8.csv
41069,41069,480.0,485.0,7.2916335e-17,0.0,8.916759e-27,7.2432203e-12,1.0,0.0,7.641085e-21,2.2512705e-19,happy,31a9d3e8.csv
41070,41070,485.0,490.0,1.5658444e-15,0.0,4.0209720000000004e-33,4.6074456e-19,0.99169946,0.0,4.171363e-35,0.008300535,happy,31a9d3e8.csv
41074,41074,505.0,510.0,0.0,0.0,0.0,0.7186221,0.001181684,0.0,8.103868399999999e-20,0.28019622,fear,31a9d3e8.csv
41075,41075,510.0,515.0,2.0804883e-30,0.0,0.0,0.89068615,0.10903973,0.0,1.6344028000000002e-22,0.00027400756,fear,31a9d3e8.csv
41078,41078,525.0,530.0,0.0,0.0,0.0,1.0,3.3390158e-13,0.0,0.0,1.1171855e-31,fear,31a9d3e8.csv
41080,41080,535.0,540.0,0.0,0.0,0.0,0.9835053,0.016492508,0.0,4.133017e-27,2.2524491e-06,fear,31a9d3e8.csv
41085,41085,560.0,565.0,0.0,0.0,0.0,0.67854416,0.32145584,0.0,0.0,3.4266023e-12,fear,31a9d3e8.csv
41095,41095,610.0,615.0,1.1884264e-18,0.0,0.0,0.99598867,0.0040112967,0.0,6.621911999999999e-26,1.4174575e-19,fear,31a9d3e8.csv
41096,41096,615.0,620.0,0.0,0.0,0.0,0.99999785,1.4971897e-06,0.0,6.215580999999999e-36,6.1005113e-07,fear,31a9d3e8.csv
41097,41097,620.0,625.0,3.74115e-15,0.0,1.6044681e-25,4.3731225e-26,1.0,0.0,6.8896770000000005e-28,1.0558116e-15,happy,31a9d3e8.csv
41098,41098,625.0,630.0,5.6086914e-19,0.0,7.337101e-28,4.6420105000000004e-17,1.0,0.0,9.3145363e-35,5.845325600000001e-26,happy,31a9d3e8.csv
41102,41102,645.0,650.0,0.0,0.0,0.0,6.6814505e-09,7.386754e-35,0.0,1.5072127e-17,1.0,surprise,31a9d3e8.csv
41105,41105,660.0,665.0,1.632752e-33,0.0,0.0,0.9979038,0.002096235,0.0,0.0,4.6207446e-14,fear,31a9d3e8.csv
41106,41106,665.0,670.0,1.990997e-11,0.0,3.5073458e-24,9.957484e-16,0.9913974,0.0,4.3089897000000005e-26,0.00860263,happy,31a9d3e8.csv
41107,41107,670.0,675.0,2.0935657e-07,0.0,1.9322222e-25,1.6653304999999998e-25,0.99999976,0.0,0.0,2.0007461e-21,happy,31a9d3e8.csv
41108,41108,675.0,680.0,9.359529e-11,0.0,5.86073e-19,7.7161624e-20,1.0,0.0,0.0,9.554827e-36,happy,31a9d3e8.csv
41109,41109,680.0,685.0,1.6118431e-13,0.0,0.0,0.02713618,0.97286385,0.0,5.1317584e-31,2.362283e-20,happy,31a9d3e8.csv
41114,41114,705.0,710.0,4.6352145e-25,0.0,0.0,9.4004514e-36,1.0,0.0,0.0,5.02171e-13,happy,31a9d3e8.csv
41115,41115,710.0,715.0,0.0,0.0,0.0,0.99250597,0.007493607,0.0,5.0913613e-29,3.2731083e-07,fear,31a9d3e8.csv
41118,41118,725.0,730.0,0.0,0.0,0.0,0.8596044,9.9077704e-05,0.0,3.9204295e-27,0.14029644,fear,31a9d3e8.csv
41126,41126,765.0,770.0,1.8449504e-17,0.0,2.394072e-33,9.383522e-25,1.0,0.0,1.4969595e-35,1.5891557e-16,happy,31a9d3e8.csv
41128,41128,775.0,780.0,0.0,0.0,0.0,0.5604589,7.9213794e-05,0.0,1.866379e-29,0.43946183,fear,31a9d3e8.csv
41139,41139,830.0,835.0,0.0,0.0,0.0,0.9986683,0.0013311551,0.0,1.4099772e-22,6.1168225e-07,fear,31a9d3e8.csv
41140,41140,835.0,840.0,0.0,0.0,0.0,3.878929e-05,5.2726802e-17,0.0,4.7865874e-16,0.99996126,surprise,31a9d3e8.csv
41143,41143,850.0,855.0,0.0,0.0,0.0,3.0792962e-06,0.9999969,0.0,0.0,3.9958118e-38,happy,31a9d3e8.csv
41144,41144,855.0,860.0,0.0,0.0,0.0,0.9999567,1.2340393e-05,0.0,2.6968088e-35,3.0930096e-05,fear,31a9d3e8.csv
41146,41146,865.0,870.0,8.577768400000001e-21,0.0,0.0,0.9999802,1.9838135e-05,0.0,0.0,2.8635447e-19,fear,31a9d3e8.csv
41147,41147,870.0,875.0,8.9088305e-21,0.0,0.0,1.4419134999999998e-29,1.0,0.0,0.0,4.867618e-35,happy,31a9d3e8.csv
41148,41148,875.0,880.0,3.2126046e-26,0.0,0.0,0.0,1.0,0.0,0.0,1.9859018e-23,happy,31a9d3e8.csv
41161,41161,940.0,945.0,0.98257107,0.0,0.0,0.013013848,0.004415114,0.0,0.0,9.676699e-31,angry,31a9d3e8.csv
41170,41170,985.0,990.0,7.141331e-25,0.0,0.0,4.7177694e-34,1.0,0.0,0.0,1.3888288e-11,happy,31a9d3e8.csv
41177,41177,1020.0,1025.0,8.0766256e-19,0.0,0.0,0.87162536,0.1283746,0.0,0.0,1.8967801e-38,fear,31a9d3e8.csv
41692,41692,206.342,211.342,1.0,0.0,1.2001412e-20,7.388065400000001e-16,1.052682e-13,0.0,0.0,0.0,angry,31f57fbd.csv
41730,41730,396.342,401.342,1.0,0.0,4.156236000000001e-23,2.3459098e-36,2.8277687e-26,0.0,0.0,0.0,angry,31f57fbd.csv
41737,41737,431.342,436.342,1.0,0.0,1.2451282e-22,3.2027613e-29,4.580063e-16,0.0,0.0,0.0,angry,31f57fbd.csv
41738,41738,436.342,441.342,1.0,0.0,9.184846e-17,9.212631e-26,2.7923944e-11,0.0,0.0,0.0,angry,31f57fbd.csv
41746,41746,476.342,481.342,1.0,0.0,8.820555000000001e-17,5.0889246e-17,4.3816538e-08,0.0,0.0,3.4645401e-31,angry,31f57fbd.csv
41785,41785,671.342,676.342,1.0,0.0,1.8983775e-21,1.0097356e-24,4.3366636e-16,0.0,0.0,0.0,angry,31f57fbd.csv
41788,41788,686.342,691.342,1.0,0.0,2.6033122e-20,2.410588e-24,5.4160024000000015e-22,0.0,0.0,0.0,angry,31f57fbd.csv
41791,41791,701.342,706.342,1.0,0.0,0.0,0.0,1.526751e-14,0.0,0.0,0.0,angry,31f57fbd.csv
41812,41812,806.342,811.342,1.0,0.0,3.4522289e-25,4.898624e-31,2.6387348e-21,0.0,0.0,0.0,angry,31f57fbd.csv
41823,41823,861.342,866.342,0.99999964,0.0,3.494142e-28,0.0,3.3653996e-07,0.0,0.0,0.0,angry,31f57fbd.csv
41842,41842,956.342,961.342,1.0,0.0,1.5662025e-23,1.5399313e-19,1.7968318e-08,0.0,0.0,0.0,angry,31f57fbd.csv
41849,41849,991.342,996.342,1.0,0.0,7.9694705e-24,9.111872e-25,3.6608539999999997e-20,0.0,0.0,0.0,angry,31f57fbd.csv
41854,41854,1016.342,1021.342,1.0,0.0,1.1383364e-34,2.9934449e-36,3.6087953e-24,0.0,0.0,0.0,angry,31f57fbd.csv
41884,41884,1166.342,1171.342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry,31f57fbd.csv
41897,41897,1231.342,1236.342,1.0,0.0,2.0987121e-18,4.1545980000000004e-18,3.0906395e-11,0.0,0.0,0.0,angry,31f57fbd.csv
41919,41919,576.0219999999999,581.0219999999999,0.6063127,0.0,5.633222e-32,0.0,0.39368728,0.0,0.0,0.0,angry,322798ae.csv
45213,45213,996.151,1001.151,1.0,0.0,2.272479e-19,2.72693e-25,8.124986e-15,0.0,0.0,0.0,angry,356dc7da.csv
46006,46006,693.998,698.998,1.0,0.0,6.204357e-24,1.1161782e-27,9.797219e-19,0.0,0.0,0.0,angry,36020c41.csv
46086,46086,1093.998,1098.998,1.0,0.0,3.1331645000000003e-16,1.2824244e-23,3.365902e-14,0.0,0.0,0.0,angry,36020c41.csv
46099,46099,1158.998,1163.998,1.0,0.0,3.2921816e-24,1.5038878e-24,1.9274822e-17,0.0,0.0,0.0,angry,36020c41.csv
55277,55277,565.2950000000001,570.2950000000001,1.0,0.0,5.5565325e-21,2.6985851e-18,2.871172e-18,0.0,0.0,0.0,angry,3fd7a160.csv
55293,55293,645.2950000000001,650.2950000000001,1.0,0.0,2.4252847e-21,6.199138e-21,2.6312817e-17,0.0,0.0,0.0,angry,3fd7a160.csv
55926,55926,730.0,735.0,0.99999523,0.0,6.557933700000002e-22,2.202565e-37,4.7205513e-06,0.0,0.0,0.0,angry,40fbbce0.csv
57957,57957,817.352,822.352,7.913359000000001e-33,0.0,0.0,2.9680963e-12,4.5899532e-20,0.0,3.817604e-14,1.0,surprise,45e6e768.csv
57958,57958,822.352,827.352,0.0,0.0,0.0,6.967085e-14,2.6374440000000002e-23,0.0,8.107581e-16,1.0,surprise,45e6e768.csv
58063,58063,1347.352,1352.352,3.2742102e-32,0.0,0.0,0.00029299408,4.8139104e-10,0.0,3.215507e-14,0.9997069,surprise,45e6e768.csv
58120,58120,1632.352,1637.352,0.0,0.0,0.0,1.8358743e-23,3.919153e-37,0.0,4.4820203e-27,1.0,surprise,45e6e768.csv
60525,60525,1477.69,1482.69,1.0,0.0,5.2548433e-13,3.1505175e-17,6.102675e-15,0.0,0.0,0.0,angry,4a5fc6c7.csv
62273,62273,1490.89,1495.89,1.0,0.0,0.0,0.0,1.8505458e-26,0.0,0.0,0.0,angry,4cc70216.csv
64184,64184,261.555,266.555,1.4243958e-06,0.0,1.1546130999999998e-18,1.0703774e-14,0.99999857,0.0,0.0,0.0,happy,4fe00c9d.csv
64251,64251,596.5550000000001,601.5550000000001,3.8064624e-07,0.0,7.862815e-23,1.2528973000000001e-17,0.99999964,0.0,0.0,0.0,happy,4fe00c9d.csv
64318,64318,931.555,936.555,4.0346368e-08,0.0,9.831821e-25,3.4865965e-19,1.0,0.0,0.0,0.0,happy,4fe00c9d.csv
64387,64387,1276.555,1281.555,4.8265075e-08,0.0,4.0675468000000005e-26,9.670242e-17,1.0,0.0,0.0,0.0,happy,4fe00c9d.csv
64976,64976,1694.59,1699.59,0.99999714,0.0,5.1918486e-34,2.8558368e-06,1.1197634e-09,0.0,2.0604019999999998e-38,1.6988217e-15,angry,50cb874d.csv
64993,64993,1779.59,1784.59,2.1135087999999998e-20,0.0,0.0,2.0009607e-13,7.696930000000001e-29,0.0,0.0,1.0,surprise,50cb874d.csv
64997,64997,1799.59,1804.59,1.0,0.0,2.5588694e-34,5.8897137e-10,5.097165e-16,0.0,0.0,8.738444e-15,angry,50cb874d.csv
65006,65006,1844.59,1849.59,0.99959797,0.0,0.0,0.00040201432,2.0204824e-09,0.0,0.0,8.723326e-19,angry,50cb874d.csv
65015,65015,1889.59,1894.59,3.5327894e-14,0.0,0.0,0.40876114,1.3302944000000002e-16,0.0,0.0,0.59123886,surprise,50cb874d.csv
65027,65027,1949.59,1954.59,1.0,0.0,2.3402019e-33,2.5938376e-11,7.229245e-14,0.0,0.0,2.8917737e-31,angry,50cb874d.csv
65036,65036,1994.59,1999.59,1.0,0.0,2.3090542e-37,6.9857357e-23,1.1312981e-18,0.0,0.0,0.0,angry,50cb874d.csv
65075,65075,2189.59,2194.59,2.1814948e-30,0.0,0.0,0.9057472,0.09425215,0.0,1.04037317e-19,7.9601966e-07,fear,50cb874d.csv
65082,65082,2224.59,2229.59,9.692038e-21,0.0,0.0,0.9999951,3.7277575e-10,0.0,4.0522533e-35,4.918328e-06,fear,50cb874d.csv
65103,65103,2329.59,2334.59,5.6409726e-15,0.0,0.0,2.30737e-05,7.287763e-18,0.0,1.2111887e-34,0.9999769,surprise,50cb874d.csv
65119,65119,2409.59,2414.59,0.99999714,0.0,3.3843708e-35,2.9142107e-06,4.746121e-16,0.0,0.0,4.4504634e-12,angry,50cb874d.csv
73795,73795,1295.201,1300.201,1.0,0.0,1.7256704e-16,7.4742813e-28,3.6507247e-15,0.0,0.0,0.0,angry,5a359378.csv
76377,76377,892.97,897.97,1.0,0.0,0.0,0.0,7.1665175e-18,0.0,0.0,0.0,angry,5efd33fd.csv
76378,76378,897.97,902.97,0.99475455,0.0,1.0970918e-25,8.828162e-12,0.0052454034,0.0,0.0,0.0,angry,5efd33fd.csv
76382,76382,917.97,922.97,1.0,0.0,2.1111742e-18,2.143493e-21,4.709616e-15,0.0,0.0,0.0,angry,5efd33fd.csv
76394,76394,977.97,982.97,1.0,0.0,0.0,0.0,2.1404412e-17,0.0,0.0,0.0,angry,5efd33fd.csv
77465,77465,496.512,501.512,1.0,0.0,6.562979000000001e-27,0.0,1.2460262000000002e-22,0.0,0.0,0.0,angry,60781142.csv
77554,77554,941.512,946.512,1.0,0.0,3.890834e-15,7.903177000000002e-22,1.4234993e-09,0.0,0.0,0.0,angry,60781142.csv
77564,77564,991.512,996.512,0.97812,0.0,5.1755527e-30,2.4061944e-15,0.021879898,0.0,0.0,0.0,angry,60781142.csv
77638,77638,1361.512,1366.512,1.0,0.0,9.1892925e-18,4.7311673e-31,9.691963e-16,0.0,0.0,0.0,angry,60781142.csv
77648,77648,1411.512,1416.512,1.0,0.0,3.477105e-16,1.5115438e-23,6.9231704e-11,0.0,0.0,0.0,angry,60781142.csv
77653,77653,1436.512,1441.512,0.9999994,0.0,4.9657365e-07,3.7989505e-28,1.6802643e-07,0.0,0.0,0.0,angry,60781142.csv
81940,81940,177.425,182.425,1.0,0.0,1.1096597e-15,3.612834e-30,8.0823875e-15,0.0,0.0,0.0,angry,6517fbdb.csv
81946,81946,207.425,212.425,1.0,0.0,4.9668507e-17,2.1883263e-25,1.08751176e-16,0.0,0.0,0.0,angry,6517fbdb.csv
81982,81982,387.425,392.425,1.0,0.0,2.6200357e-23,0.0,1.8004307e-19,0.0,0.0,0.0,angry,6517fbdb.csv
81983,81983,392.425,397.425,1.0,0.0,1.776012e-13,5.1710397e-23,3.9976364e-09,0.0,0.0,0.0,angry,6517fbdb.csv
82085,82085,902.425,907.425,1.0,0.0,8.477901e-22,1.6197995e-25,1.0838914e-17,0.0,0.0,0.0,angry,6517fbdb.csv
83867,83867,223.58,228.58,0.99999976,0.0,1.1054239e-19,2.6700393e-12,2.8156322e-07,0.0,0.0,0.0,angry,680f6c90.csv
83881,83881,293.58,298.58,1.0,0.0,2.3031519e-29,1.346156e-29,6.62121e-22,0.0,0.0,0.0,angry,680f6c90.csv
83899,83899,383.58,388.58,1.0,0.0,4.5064224e-17,1.0572382e-23,7.769766e-14,0.0,0.0,0.0,angry,680f6c90.csv
83912,83912,448.58,453.58,1.0,0.0,1.5465584e-21,2.1336206e-37,5.325927299999999e-18,0.0,0.0,0.0,angry,680f6c90.csv
83925,83925,513.58,518.58,1.0,0.0,2.1655514e-14,1.0874793999999998e-37,6.405629500000002e-16,0.0,0.0,0.0,angry,680f6c90.csv
83928,83928,528.58,533.58,1.0,0.0,1.7559342e-20,0.0,3.5175597e-21,0.0,0.0,0.0,angry,680f6c90.csv
83931,83931,543.58,548.58,1.0,0.0,1.3114994e-16,9.383042e-28,5.6123836e-15,0.0,0.0,0.0,angry,680f6c90.csv
