,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
1396,1396,347.942,352.942,0.9999933,0.0,4.4235093e-12,1.6678478e-20,6.7286965e-06,2.7213561e-37,0.0,0.0,angry,01827a22.csv
2406,2406,975.851,980.851,1.0,0.0,2.193927e-17,5.3237336e-18,6.716133e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2452,2452,1205.851,1210.851,1.0,0.0,2.9441334e-12,2.2921637e-19,1.3745619e-10,5.803701e-29,0.0,0.0,angry,01e3fca1.csv
2465,2465,1270.851,1275.851,1.0,0.0,3.6709105e-19,3.610062e-24,7.014351e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2509,2509,1490.851,1495.851,0.99999416,0.0,5.1248546e-18,4.8525860000000015e-22,5.883426e-06,0.0,0.0,0.0,angry,01e3fca1.csv
3873,3873,2018.03,2023.03,1.0,0.0,8.182430400000001e-16,1.4977469000000001e-21,3.305695e-14,9.2634494e-33,0.0,0.0,angry,030e54b0.csv
3914,3914,2223.03,2228.03,0.9999995,0.0,1.2442721000000002e-16,2.7020065e-16,4.971025e-07,2.1852526e-35,0.0,4.557789e-30,angry,030e54b0.csv
3936,3936,2333.03,2338.03,1.0,0.0,9.990578e-13,1.2379868e-21,1.886679e-13,1.2509498e-31,0.0,0.0,angry,030e54b0.csv
3937,3937,2338.03,2343.03,1.0,0.0,4.535327e-13,6.577002000000001e-23,1.7294816e-10,4.0704617e-35,0.0,0.0,angry,030e54b0.csv
3950,3950,2403.03,2408.03,1.0,0.0,5.9494007e-12,2.2030314e-20,4.925841e-09,1.7621581e-31,0.0,6.8298733e-31,angry,030e54b0.csv
3959,3959,2448.03,2453.03,1.0,0.0,2.2802617000000002e-17,9.117099e-30,1.748364e-17,0.0,0.0,0.0,angry,030e54b0.csv
3964,3964,2473.03,2478.03,1.0,0.0,2.3976743000000002e-17,2.2345894000000003e-31,2.4864957e-13,0.0,0.0,0.0,angry,030e54b0.csv
4689,4689,78.456,83.456,1.0,0.0,3.237843e-12,4.9010157000000005e-24,1.1309807e-11,1.0687085499999999e-32,0.0,1.8585729e-36,angry,04fb0b15.csv
4698,4698,123.456,128.45600000000002,1.0,0.0,4.840685300000002e-16,5.853993000000001e-23,1.0418242e-12,6.923628999999999e-38,0.0,0.0,angry,04fb0b15.csv
5802,5802,1107.597,1112.597,1.0,0.0,6.807165500000002e-16,4.8626370000000004e-23,4.5300247e-14,6.128268299999999e-37,0.0,0.0,angry,075586f2.csv
