,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
1392,1392,327.942,332.942,1.0,0.0,5.2411906e-09,2.1621109999999998e-20,1.4859906e-08,1.4407447e-26,1.5446716e-36,0.0,angry,01827a22.csv
1396,1396,347.942,352.942,0.9999933,0.0,4.4235093e-12,1.6678478e-20,6.7286965e-06,2.7213561e-37,0.0,0.0,angry,01827a22.csv
2384,2384,865.851,870.851,0.99999905,0.0,2.9819732e-12,2.7999338e-18,9.893039e-07,1.1825117e-28,4.798671500000001e-38,0.0,angry,01e3fca1.csv
2390,2390,895.851,900.851,0.5125841,0.0,1.5962156e-06,3.4033771e-15,0.48741436,1.2543061e-18,4.1252606e-28,0.0,angry,01e3fca1.csv
2406,2406,975.851,980.851,1.0,0.0,2.193927e-17,5.3237336e-18,6.716133e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2452,2452,1205.851,1210.851,1.0,0.0,2.9441334e-12,2.2921637e-19,1.3745619e-10,5.803701e-29,0.0,0.0,angry,01e3fca1.csv
2465,2465,1270.851,1275.851,1.0,0.0,3.6709105e-19,3.610062e-24,7.014351e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2509,2509,1490.851,1495.851,0.99999416,0.0,5.1248546e-18,4.8525860000000015e-22,5.883426e-06,0.0,0.0,0.0,angry,01e3fca1.csv
3873,3873,2018.03,2023.03,1.0,0.0,8.182430400000001e-16,1.4977469000000001e-21,3.305695e-14,9.2634494e-33,0.0,0.0,angry,030e54b0.csv
3936,3936,2333.03,2338.03,1.0,0.0,9.990578e-13,1.2379868e-21,1.886679e-13,1.2509498e-31,0.0,0.0,angry,030e54b0.csv
3937,3937,2338.03,2343.03,1.0,0.0,4.535327e-13,6.577002000000001e-23,1.7294816e-10,4.0704617e-35,0.0,0.0,angry,030e54b0.csv
3959,3959,2448.03,2453.03,1.0,0.0,2.2802617000000002e-17,9.117099e-30,1.748364e-17,0.0,0.0,0.0,angry,030e54b0.csv
3964,3964,2473.03,2478.03,1.0,0.0,2.3976743000000002e-17,2.2345894000000003e-31,2.4864957e-13,0.0,0.0,0.0,angry,030e54b0.csv
4698,4698,123.456,128.45600000000002,1.0,0.0,4.840685300000002e-16,5.853993000000001e-23,1.0418242e-12,6.923628999999999e-38,0.0,0.0,angry,04fb0b15.csv
5117,5117,1076.131,1081.131,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,05785b3a.csv
5118,5118,1081.131,1086.131,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,05785b3a.csv
5119,5119,1086.131,1091.131,1.9902928e-28,0.0,6.4712674e-10,2.3441257e-07,2.2396874e-11,9.083989e-07,0.9999988,0.0,sad,05785b3a.csv
5802,5802,1107.597,1112.597,1.0,0.0,6.807165500000002e-16,4.8626370000000004e-23,4.5300247e-14,6.128268299999999e-37,0.0,0.0,angry,075586f2.csv
6285,6285,2072.9700000000003,2077.9700000000003,1.0,0.0,2.1004132e-15,8.318662999999999e-19,8.651531e-14,3.8364181e-31,0.0,0.0,angry,07906e6c.csv
6286,6286,2077.9700000000003,2082.9700000000003,1.0,0.0,4.1467278e-26,2.9969056000000004e-22,2.8751316000000003e-16,0.0,0.0,0.0,angry,07906e6c.csv
6352,6352,2407.9700000000003,2412.9700000000003,1.0,0.0,2.0268143e-14,9.0828785e-21,1.314474e-13,2.5770204000000003e-27,0.0,0.0,angry,07906e6c.csv
11988,11988,590.0,595.0,0.99051756,0.0,3.650473e-11,2.4725084e-22,0.009482489,3.947374e-33,0.0,0.0,angry,0e6a3b61.csv
12632,12632,1719.38,1724.38,0.9999999,0.0,1.7552726e-07,8.024714000000001e-17,5.418009e-10,1.3960862e-20,1.9511094e-33,0.0,angry,0f614225.csv
12633,12633,1724.38,1729.38,1.0,0.0,1.3485309e-10,7.356003e-17,2.5466285e-08,2.2417609e-24,3.5187004e-36,0.0,angry,0f614225.csv
12637,12637,1744.38,1749.38,1.0,0.0,2.6807124e-14,1.9826025e-22,2.5143804e-10,2.5478601e-36,0.0,0.0,angry,0f614225.csv
12639,12639,1754.38,1759.38,1.0,0.0,3.4661052e-13,6.1940842e-27,2.528488e-12,1.0802249e-34,0.0,0.0,angry,0f614225.csv
12753,12753,2324.38,2329.38,0.00020407041,0.0,3.6101364e-10,7.038731e-14,0.999796,4.7973784e-26,1.5935636e-34,0.0,happy,0f614225.csv
14621,14621,100.0,105.0,1.0,0.0,2.616271e-15,1.4429011e-14,3.5968693e-11,2.4846784e-33,0.0,0.0,angry,127e1f35.csv
14638,14638,185.0,190.0,1.0,0.0,4.1287035e-14,8.510683e-13,3.939765e-10,8.061964e-32,1.2355246e-35,0.0,angry,127e1f35.csv
14775,14775,870.0,875.0,1.0,0.0,3.1177591e-13,3.0155285e-11,2.7505567e-10,3.7344668e-28,4.7506583e-33,0.0,angry,127e1f35.csv
14825,14825,1120.0,1125.0,1.0,0.0,2.0854302e-20,4.9978105e-25,3.108379e-16,0.0,0.0,0.0,angry,127e1f35.csv
14979,14979,941.297,946.297,1.6768382000000002e-16,0.0,7.782061e-18,1.1450583e-16,1.0,2.5176247e-32,1.7374478e-31,0.0,happy,12cb0855.csv
16047,16047,227.083,232.083,1.0,0.0,3.4914838e-10,9.95255e-11,5.620315e-10,1.7393896e-25,6.4553177e-34,0.0,angry,14c01285.csv
16086,16086,422.083,427.083,1.0,0.0,2.2903767e-15,3.9997423000000005e-16,9.838697e-12,7.038371e-32,0.0,0.0,angry,14c01285.csv
16087,16087,427.083,432.083,1.0,0.0,1.6483205e-28,0.0,8.642581e-28,0.0,0.0,0.0,angry,14c01285.csv
16091,16091,447.083,452.083,1.0,0.0,7.916833499999999e-25,1.2805188e-29,1.046424e-17,0.0,0.0,0.0,angry,14c01285.csv
16118,16118,582.083,587.083,1.0,0.0,3.6572728e-13,1.02228e-19,1.1351264e-10,3.6211362e-32,0.0,0.0,angry,14c01285.csv
16146,16146,722.083,727.083,1.0,0.0,6.686214e-14,1.4694343e-20,2.453264e-14,1.6000205e-30,0.0,0.0,angry,14c01285.csv
16153,16153,757.083,762.083,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,14c01285.csv
16640,16640,1152.96,1157.96,1.0,0.0,1.8248968e-13,8.1588915e-25,8.96838e-14,1.2487404e-34,0.0,0.0,angry,15110616.csv
16643,16643,1167.96,1172.96,1.0,0.0,2.5971999e-14,4.1986533e-17,1.1090881e-12,2.4758817e-31,4.8669977e-38,0.0,angry,15110616.csv
16684,16684,1372.96,1377.96,1.0,0.0,5.0082793000000004e-21,8.0098064e-28,3.0408407e-13,0.0,0.0,0.0,angry,15110616.csv
16697,16697,1437.96,1442.96,1.0,0.0,6.4425564e-17,5.558089599999998e-25,1.7228889e-15,0.0,0.0,0.0,angry,15110616.csv
16702,16702,1462.96,1467.96,1.0,0.0,1.6307182e-09,1.2532507e-33,1.05405285e-08,0.0,0.0,0.0,angry,15110616.csv
16720,16720,1552.96,1557.96,1.0,0.0,4.1893426e-13,2.9361258e-23,7.9822173e-13,1.4425834e-31,0.0,0.0,angry,15110616.csv
19034,19034,135.454,140.454,1.0,0.0,1.2971257e-15,1.3073951e-21,3.6404145e-14,1.4346155e-38,0.0,0.0,angry,1758c037.csv
19036,19036,145.454,150.454,1.0,0.0,6.9586882e-15,5.2729247e-17,2.483137e-08,4.8539387e-33,0.0,0.0,angry,1758c037.csv
24348,24348,1414.278,1419.278,1.0,0.0,2.2704403000000007e-21,1.3123032e-19,1.0150853e-15,0.0,0.0,0.0,angry,1c85da55.csv
24349,24349,1419.278,1424.278,1.0,0.0,4.1860975e-14,1.1690988e-18,1.0950933e-11,3.2294544e-31,0.0,0.0,angry,1c85da55.csv
25191,25191,680.0,685.0,1.0,0.0,2.598831e-32,1.8191449000000002e-21,4.0244815e-13,0.0,0.0,0.0,angry,1dc386fc.csv
25474,25474,1234.993,1239.993,1.0,0.0,4.4246625e-15,7.3959705e-21,4.8542225e-12,1.0029003e-36,0.0,0.0,angry,1f075271.csv
25520,25520,1464.993,1469.993,1.0,0.0,3.1845102e-15,1.2326755e-14,1.1712032e-11,1.0932882e-33,3.790653e-38,0.0,angry,1f075271.csv
28444,28444,30.0,35.0,1.0,0.0,4.826745e-09,2.1374587e-21,4.9476574e-13,2.6218539999999998e-24,1.7461142e-36,0.0,angry,22e5bee7.csv
28449,28449,55.0,60.0,1.0,0.0,6.406894e-18,1.3528133e-20,1.1635498e-12,2.4458163e-37,0.0,0.0,angry,22e5bee7.csv
28528,28528,450.0,455.0,1.0,0.0,3.721151e-12,9.85328e-21,6.3785177e-15,9.380797e-26,0.0,0.0,angry,22e5bee7.csv
30895,30895,1946.41,1951.41,7.733266000000001e-32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,26a8ac59.csv
30970,30970,2321.41,2326.41,0.0,0.0,0.0,1.0,7.457523e-09,0.0,0.0,0.0,fear,26a8ac59.csv
31526,31526,227.445,232.445,0.9999999,0.0,1.4937976e-07,6.8805505e-24,9.290797e-12,3.222574e-24,0.0,0.0,angry,277e671d.csv
31670,31670,947.445,952.445,1.0,0.0,2.037934e-12,1.5944726999999998e-19,1.7979243e-13,1.0346666e-25,1.1411651e-37,0.0,angry,277e671d.csv
31688,31688,1037.445,1042.445,1.0,0.0,1.6435785e-11,5.570861e-20,1.004513e-12,1.2944352e-25,4.9888325e-35,0.0,angry,277e671d.csv
31713,31713,1162.445,1167.445,1.0,0.0,9.46108e-19,2.3270087e-26,6.7372154e-14,0.0,0.0,0.0,angry,277e671d.csv
32020,32020,325.0,330.0,0.4919593,0.0,1.764176e-36,1.8021544e-33,0.50804067,0.0,0.0,0.0,happy,27dcb258.csv
32023,32023,340.0,345.0,1.0,0.0,2.159863e-14,1.0780231e-18,5.893671e-13,3.6176727e-31,0.0,0.0,angry,27dcb258.csv
34843,34843,155.0,160.0,1.0,0.0,0.0,4.3593617e-20,5.726431e-11,0.0,0.0,0.0,angry,2bceb1c0.csv
34844,34844,160.0,165.0,1.0,0.0,0.0,1.2552348e-13,2.5808908e-09,0.0,0.0,0.0,angry,2bceb1c0.csv
35009,35009,985.0,990.0,1.0,0.0,3.112295e-12,4.462337e-18,9.051138e-11,5.3593647e-28,8.513323e-37,0.0,angry,2bceb1c0.csv
38124,38124,1497.73,1502.73,1.0,0.0,6.075928e-11,6.325227699999998e-25,2.6499148e-11,1.5115886000000002e-32,0.0,0.0,angry,2e7ccf3f.csv
38138,38138,1567.73,1572.73,0.99999976,0.0,2.0313112e-25,5.458761e-33,1.9041202e-07,0.0,0.0,0.0,angry,2e7ccf3f.csv
38148,38148,1617.73,1622.73,1.0,0.0,1.4462542000000002e-22,0.0,2.0919265e-25,0.0,0.0,0.0,angry,2e7ccf3f.csv
38149,38149,1622.73,1627.73,1.0,0.0,3.3928335e-28,0.0,1.2893766e-21,0.0,0.0,0.0,angry,2e7ccf3f.csv
38150,38150,1627.73,1632.73,1.0,0.0,2.9764605000000003e-18,1.6160877e-28,1.2684464e-15,2.3386165000000003e-38,0.0,0.0,angry,2e7ccf3f.csv
38151,38151,1632.73,1637.73,1.0,0.0,4.104554e-13,6.285994e-18,2.5038503e-11,1.2368111e-29,5.7300893e-38,0.0,angry,2e7ccf3f.csv
38158,38158,1667.73,1672.73,1.0,0.0,2.6006574000000003e-16,7.0990894e-19,5.3382564e-13,1.3784804999999999e-34,0.0,0.0,angry,2e7ccf3f.csv
38160,38160,1677.73,1682.73,1.0,0.0,1.1868784e-13,5.7901955e-27,5.7140426e-09,0.0,0.0,0.0,angry,2e7ccf3f.csv
38161,38161,1682.73,1687.73,1.0,0.0,1.2453363e-16,1.4246089e-37,2.554504e-16,0.0,0.0,0.0,angry,2e7ccf3f.csv
38192,38192,1837.73,1842.73,1.0,0.0,1.5220625000000002e-16,1.02579545e-27,6.0220985e-17,0.0,0.0,0.0,angry,2e7ccf3f.csv
38620,38620,2563.9300000000003,2568.9300000000003,0.98815477,0.0,1.6622423e-17,8.661466e-21,0.011845164,0.0,0.0,0.0,angry,2ea6e4bc.csv
38655,38655,2738.9300000000003,2743.9300000000003,0.15982871,0.0,0.002821428,6.895441e-11,0.8373499,8.426402e-16,7.140186000000001e-25,0.0,happy,2ea6e4bc.csv
39751,39751,755.0,760.0,0.99997807,0.0,9.29611e-15,2.1921105e-05,1.9856666e-10,7.5886902e-28,3.591797e-31,0.0,angry,2ff1b518.csv
40617,40617,470.0,475.0,1.0,0.0,1.8307364e-13,9.468491e-17,2.5960514e-10,6.254171e-29,3.8439944e-37,0.0,angry,30e517fb.csv
40664,40664,705.0,710.0,1.0,0.0,3.7153926e-12,3.4514956e-15,5.676663e-09,3.5374876e-29,3.3418614e-37,0.0,angry,30e517fb.csv
40683,40683,800.0,805.0,1.0,0.0,8.4970583e-13,5.2860276e-20,2.5777642e-11,2.5503328e-34,0.0,0.0,angry,30e517fb.csv
40980,40980,35.0,40.0,0.0,0.0,0.0,1.0,2.1819983e-11,0.0,0.0,0.0,fear,31a9d3e8.csv
41017,41017,220.0,225.0,0.86805844,0.0,0.0009163511,2.1433326e-15,0.13102524,1.2216073e-22,0.0,0.0,angry,31a9d3e8.csv
41024,41024,255.0,260.0,0.022923931,0.0,0.24920468,1.9085714e-14,0.7278714,1.2414098000000001e-22,1.0359977e-32,0.0,happy,31a9d3e8.csv
41026,41026,265.0,270.0,1.0,0.0,1.8659064e-11,1.5179897e-34,1.7208037e-11,0.0,0.0,0.0,angry,31a9d3e8.csv
41033,41033,300.0,305.0,2.0177546e-13,0.0,0.0,1.705484e-07,0.9999999,0.0,0.0,0.0,happy,31a9d3e8.csv
41132,41132,795.0,800.0,0.9426114,0.0,1.25264005e-05,1.2629786e-11,0.057376087,5.6263384e-15,1.4377006999999998e-29,0.0,angry,31a9d3e8.csv
41692,41692,206.342,211.342,1.0,0.0,1.2001412e-20,7.388065400000001e-16,1.052682e-13,0.0,0.0,0.0,angry,31f57fbd.csv
41706,41706,276.342,281.342,1.0,0.0,5.1143265e-15,1.8178842e-19,4.9831536e-13,3.7155243e-36,0.0,0.0,angry,31f57fbd.csv
