,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
758,758,844.881,849.881,1.0,0.0,3.5780094e-12,6.0416895e-14,1.6305689e-09,1.1462954e-23,7.6588546e-29,1.3943554e-29,angry,00fb696a.csv
761,761,859.881,864.881,1.0,0.0,1.4929302e-09,3.4655015e-18,3.933192e-08,3.0854228e-25,2.7125315e-31,8.906288e-27,angry,00fb696a.csv
1392,1392,327.942,332.942,1.0,0.0,5.2411906e-09,2.1621109999999998e-20,1.4859906e-08,1.4407447e-26,1.5446716e-36,0.0,angry,01827a22.csv
2341,2341,650.851,655.851,1.0,0.0,2.0440462e-08,1.5853348e-09,4.06053e-08,6.8865785e-20,9.662870000000001e-24,5.8181024e-24,angry,01e3fca1.csv
2406,2406,975.851,980.851,1.0,0.0,2.193927e-17,5.3237336e-18,6.716133e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2452,2452,1205.851,1210.851,1.0,0.0,2.9441334e-12,2.2921637e-19,1.3745619e-10,5.803701e-29,0.0,0.0,angry,01e3fca1.csv
2465,2465,1270.851,1275.851,1.0,0.0,3.6709105e-19,3.610062e-24,7.014351e-11,0.0,0.0,0.0,angry,01e3fca1.csv
2523,2523,1560.851,1565.851,1.0,0.0,1.3332191e-10,2.9657535e-12,9.789574e-09,1.6873814e-23,1.1637661e-29,7.5594284e-32,angry,01e3fca1.csv
2534,2534,1615.851,1620.851,1.0,0.0,7.987062e-09,2.6532493e-10,5.4391447e-09,3.5020056e-19,4.3765508e-23,1.421541e-23,angry,01e3fca1.csv
3873,3873,2018.03,2023.03,1.0,0.0,8.182430400000001e-16,1.4977469000000001e-21,3.305695e-14,9.2634494e-33,0.0,0.0,angry,030e54b0.csv
3874,3874,2023.03,2028.03,1.0,0.0,1.9219605e-10,3.931582e-14,2.4246578e-08,3.219378e-25,7.137492400000001e-32,6.527006e-33,angry,030e54b0.csv
3896,3896,2133.03,2138.03,1.0,0.0,3.0946892e-09,5.2804666e-12,5.2282983e-10,2.2193384e-18,1.6606618e-25,1.1972646e-28,angry,030e54b0.csv
3909,3909,2198.03,2203.03,1.0,0.0,4.330393e-11,3.1186256e-18,4.5716174e-11,1.6406993000000003e-27,1.4522429e-35,9.857237e-34,angry,030e54b0.csv
