,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
142128,142128,769.0,774.0,1.401824e-09,0.99926096,5.710311e-05,1.7693682e-07,1.7641626e-06,9.606966e-05,0.0005839706,1.367083e-09,calm,ac7f42a5.csv
142009,142009,174.0,179.0,2.2610944e-08,0.99900097,0.0002902794,3.525339e-07,4.2563324e-06,0.00018346877,0.0005205852,1.4225581e-08,calm,ac7f42a5.csv
69536,69536,70.0,75.0,4.0233803e-09,0.9986609,8.464926e-05,3.3622567e-07,4.922782e-06,0.00022182899,0.0010273043,1.3124218e-08,calm,579b0f45.csv
169325,169325,2440.35,2445.35,3.1074188e-10,0.99822086,4.5047836e-06,7.416523e-08,7.621557e-06,0.000643233,0.0011237452,1.6920274e-11,calm,ca037443.csv
169188,169188,1755.35,1760.35,2.395264e-10,0.99770206,9.303681e-06,4.9909244e-07,8.011941e-06,0.0003841548,0.0018960314,8.418293e-11,calm,ca037443.csv
142157,142157,914.0,919.0,1.2163766e-09,0.9973258,4.879722e-05,3.2572424e-07,3.1680556e-06,0.00044195028,0.0021800138,3.6051082e-09,calm,ac7f42a5.csv
116077,116077,796.502,801.502,3.6017236e-09,0.99703205,2.179406e-05,2.1874328e-07,1.0507197e-05,0.0007155804,0.0022197487,6.127381e-09,calm,8c261c73.csv
169220,169220,1915.35,1920.35,9.387661e-09,0.99651355,4.6186302e-05,3.3944502e-06,4.941377e-05,0.0005374098,0.0028499488,4.4927426e-09,calm,ca037443.csv
156499,156499,841.0989999999999,846.0989999999999,1.4718317e-07,0.99639916,0.00093756925,1.4791384e-06,1.4390305e-05,0.0010223258,0.0016247892,7.051609e-08,calm,bb41942f.csv
116091,116091,866.502,871.502,4.193398e-10,0.99631894,1.2816403e-05,8.7908217e-07,8.628142e-06,0.00020405542,0.0034547606,7.296721e-09,calm,8c261c73.csv
