,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
3170,3170,827.519,832.519,3.5040898e-08,6.0221675e-32,1.0,9.091898e-12,3.4143153e-09,2.5069218e-12,4.9252794e-12,5.753239e-16,disgust,01f9d3f1.csv
36706,36706,713.278,718.278,9.0483465e-10,2.290026e-31,1.0,1.3237411e-12,8.200611e-10,4.0518627e-13,1.2328162e-11,5.237652e-13,disgust,2e2c6ea9.csv
36881,36881,1588.278,1593.278,3.2550415e-10,2.5122748e-37,1.0,9.379454e-15,4.122832e-11,2.6462134e-14,1.8217451e-14,5.26167e-18,disgust,2e2c6ea9.csv
36905,36905,1708.278,1713.278,1.7723822e-08,1.9052886e-24,1.0,2.2543617e-10,7.010345e-09,7.174627e-11,3.1803438e-09,1.2408595e-09,disgust,2e2c6ea9.csv
56874,56874,1096.02,1101.02,2.0940686e-08,7.8644936e-24,1.0,5.88731e-10,1.2879521e-08,1.8738582e-09,7.253794e-09,1.1659231e-11,disgust,4184e27c.csv
60708,60708,398.982,403.982,2.994887e-08,9.754943e-24,1.0,6.6462937e-09,1.5424709e-08,4.530512e-09,5.6919205e-08,4.3081307e-12,disgust,4aca28b1.csv
60731,60731,513.982,518.982,1.1712893e-09,3.170948e-21,1.0,4.879942e-10,2.5017083e-10,1.4844177e-09,5.1739796e-08,1.0304067e-10,disgust,4aca28b1.csv
60769,60769,703.982,708.982,2.1423685e-10,8.311361e-28,1.0,1.16303404e-10,4.806675e-11,2.2125416e-11,5.921639e-09,6.8536114e-12,disgust,4aca28b1.csv
60801,60801,863.982,868.982,9.8476935e-11,3.7530611e-28,1.0,5.611293e-11,6.839094e-11,1.6810338e-08,9.107915e-09,5.879187000000001e-17,disgust,4aca28b1.csv
60848,60848,1098.982,1103.982,1.8565835e-08,3.8099302e-25,1.0,1.127277e-10,5.957631e-09,1.2615914e-08,2.010322e-09,9.6998825e-15,disgust,4aca28b1.csv
60858,60858,1148.982,1153.982,2.66892e-08,1.7943025999999998e-25,1.0,1.7724759e-09,7.887162e-09,2.7896543e-10,9.16053e-09,3.318898e-11,disgust,4aca28b1.csv
77964,77964,218.938,223.938,1.7708718e-08,8.792509e-31,1.0,9.968618e-12,1.6419863e-08,5.8563674e-13,9.304222e-12,2.395951e-13,disgust,611f2f56.csv
127875,127875,277.482,282.482,3.1222307e-08,1.0278519e-27,1.0,2.1922438e-11,2.2505962e-08,2.3461297e-13,3.8135346e-11,2.2943744e-10,disgust,9c4a6c00.csv
127909,127909,447.482,452.482,1.1103518e-08,1.2948566e-30,1.0,3.8062678e-11,1.3994907e-09,4.787555e-10,2.0639851e-10,1.638731e-17,disgust,9c4a6c00.csv
127926,127926,532.482,537.482,1.2195963e-09,0.0,1.0,1.8176045e-14,1.3398037e-10,9.302776e-14,9.5503016e-15,5.277784e-21,disgust,9c4a6c00.csv
127958,127958,692.482,697.482,1.3260358e-08,9.289513e-29,1.0,1.0038628e-10,8.484039e-09,1.6519913e-12,3.4558323e-10,4.220938e-12,disgust,9c4a6c00.csv
128047,128047,1137.482,1142.482,1.6480167e-08,6.7685963e-35,1.0,4.2291335e-12,1.1552816e-08,1.704235e-13,4.161223e-13,2.15966e-15,disgust,9c4a6c00.csv
138259,138259,250.497,255.497,1.5439212e-09,0.0,1.0,1.12299165e-17,5.595718e-12,2.6250872000000003e-16,2.2764885e-18,5.0037076e-24,disgust,a8cf4c39.csv
147347,147347,2418.23,2423.23,3.4605787e-08,2.3037654e-23,1.0,8.1630636e-10,1.7408285e-08,6.048666e-10,6.6709576e-09,1.720588e-10,disgust,b1353c3e.csv
164613,164613,669.646,674.646,7.294654e-09,7.4738915e-33,1.0,5.576813e-13,3.5987804e-09,3.6996411e-10,1.7124015e-12,9.700121999999998e-19,disgust,c6242863.csv
164921,164921,902.033,907.033,1.7095192e-09,2.9665157e-28,1.0,5.262916e-10,6.5812022e-09,8.726587e-11,8.899613e-09,5.947026e-13,disgust,c6652f7c.csv
164923,164923,912.033,917.033,5.6841283e-09,1.6438567000000002e-27,1.0,1.4906028e-09,7.831816e-09,6.8413153e-10,1.224403e-08,1.1848562e-13,disgust,c6652f7c.csv
170471,170471,1364.375,1369.375,7.884901e-10,3.9885394e-33,1.0,3.6480554e-13,5.6429333e-11,6.873615e-12,1.3925708e-12,5.3522210000000004e-18,disgust,cb15c29b.csv
170499,170499,1504.375,1509.375,4.5603375e-08,1.901698e-35,1.0,1.2600103e-10,5.284404e-09,7.414826e-10,5.6562952e-11,7.626474e-19,disgust,cb15c29b.csv
213723,213723,1159.755,1164.755,5.1730105e-09,8.557556000000001e-33,1.0,9.0751576e-13,1.1203984e-10,2.2785818e-11,4.723045e-12,2.1954914e-18,disgust,f81bae89.csv
