,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
30970,30970,2321.41,2326.41,0.0,0.0,0.0,1.0,7.457523e-09,0.0,0.0,0.0,fear,26a8ac59.csv
40980,40980,35.0,40.0,0.0,0.0,0.0,1.0,2.1819983e-11,0.0,0.0,0.0,fear,31a9d3e8.csv
41078,41078,525.0,530.0,0.0,0.0,0.0,1.0,3.3390158e-13,0.0,0.0,1.1171855e-31,fear,31a9d3e8.csv
55809,55809,145.0,150.0,4.304057e-12,0.0,2.4019568e-26,1.0,3.1205691e-12,2.4012086e-31,1.667979e-21,3.1329504e-23,fear,40fbbce0.csv
156761,156761,850.1759999999999,855.1759999999999,6.10285e-11,0.0,8.151861e-10,1.0,1.8711805e-08,1.1879084e-10,2.1620572e-09,2.63363e-33,fear,bb44f040.csv
22270,22270,1003.789,1008.789,0.0,0.0,0.0,0.9999999,1.3736818e-07,0.0,0.0,6.257697e-12,fear,1b6685ef.csv
22286,22286,1083.789,1088.789,0.0,0.0,0.0,0.9999999,1.2967463e-07,0.0,0.0,7.838526e-16,fear,1b6685ef.csv
107766,107766,700.0,705.0,5.80287e-14,0.0,4.806394e-13,0.9999999,1.5608799e-07,1.4418631e-15,1.3256841e-08,8.958278e-36,fear,81b77b75.csv
156757,156757,830.1759999999999,835.1759999999999,1.7138387e-12,0.0,2.1036784e-13,0.99999976,2.4626888e-07,2.6495233e-16,2.545483e-11,4.7488815e-33,fear,bb44f040.csv
156760,156760,845.1759999999999,850.1759999999999,4.645221e-11,0.0,1.0290665e-11,0.99999976,2.623587e-07,2.3673266e-14,1.4148302e-11,5.6363953e-36,fear,bb44f040.csv
