,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
14979,14979,941.297,946.297,1.6768382000000002e-16,0.0,7.782061e-18,1.1450583e-16,1.0,2.5176247e-32,1.7374478e-31,0.0,happy,12cb0855.csv
30895,30895,1946.41,1951.41,7.733266000000001e-32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,happy,26a8ac59.csv
40984,40984,55.0,60.0,4.098865e-36,0.0,0.0,0.0,1.0,0.0,0.0,5.1619746e-15,happy,31a9d3e8.csv
40990,40990,85.0,90.0,1.757838e-12,0.0,1.5732704e-28,1.4223062e-30,1.0,0.0,0.0,1.9396896e-17,happy,31a9d3e8.csv
40998,40998,125.0,130.0,1.2946673e-10,0.0,8.965073000000001e-23,4.541807e-22,1.0,5.866523e-34,4.5353705e-28,6.1161053e-13,happy,31a9d3e8.csv
41044,41044,355.0,360.0,5.0566186e-13,0.0,1.8115339e-29,3.3289580000000004e-23,1.0,0.0,9.048063e-34,2.8469287e-17,happy,31a9d3e8.csv
41049,41049,380.0,385.0,2.6913956e-13,0.0,3.8297097e-22,5.942113e-18,1.0,1.8319449e-28,2.783468e-21,3.3371317e-09,happy,31a9d3e8.csv
41051,41051,390.0,395.0,2.2084305e-15,0.0,6.416875000000001e-25,1.1817826e-20,1.0,8.293835999999999e-38,3.9449080000000003e-29,2.539607e-10,happy,31a9d3e8.csv
41052,41052,395.0,400.0,2.4901331e-19,0.0,8.631821400000001e-32,5.6813940000000005e-25,1.0,0.0,1.5065869e-31,5.4532637e-12,happy,31a9d3e8.csv
41069,41069,480.0,485.0,7.2916335e-17,0.0,8.916759e-27,7.2432203e-12,1.0,0.0,7.641085e-21,2.2512705e-19,happy,31a9d3e8.csv
41084,41084,555.0,560.0,3.8062743e-15,0.0,7.996068000000001e-28,6.591079e-27,1.0,3.78465e-34,4.654076600000001e-28,2.7567025e-13,happy,31a9d3e8.csv
41097,41097,620.0,625.0,3.74115e-15,0.0,1.6044681e-25,4.3731225e-26,1.0,0.0,6.8896770000000005e-28,1.0558116e-15,happy,31a9d3e8.csv
41098,41098,625.0,630.0,5.6086914e-19,0.0,7.337101e-28,4.6420105000000004e-17,1.0,0.0,9.3145363e-35,5.845325600000001e-26,happy,31a9d3e8.csv
