,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
134501,134501,1429.61,1434.61,1.6629365e-26,0.0,1.4882354e-14,1.2365629e-26,2.645275e-14,1.0,1.1501765e-15,0.0,neutral,a21d3e6b.csv
47237,47237,1200.371,1205.371,5.117371e-18,0.0,8.5002335e-07,8.520702e-09,4.739713e-11,0.99999774,1.4266826e-06,0.0,neutral,376d728f.csv
156763,156763,860.1759999999999,865.1759999999999,6.1159247e-15,9.221009999999999e-35,2.8008512e-06,2.896134e-09,5.985274e-09,0.9999944,2.8545846e-06,9.954631e-35,neutral,bb44f040.csv
156828,156828,1185.176,1190.176,6.7490436e-12,1.3422783e-31,1.4747864e-05,1.6310054e-12,2.2276086e-07,0.999985,4.1407264e-09,6.576264e-34,neutral,bb44f040.csv
5247,5247,482.001,487.001,4.7426476e-14,2.2664353e-35,7.4464725e-07,6.6644645e-08,5.889615e-06,0.99997735,1.5895395e-05,4.3848828e-34,neutral,05b884d7.csv
47239,47239,1210.371,1215.371,2.4839332e-12,3.7676941e-35,6.401904e-05,9.410141e-06,6.551624e-08,0.99990857,1.7900087e-05,4.301922e-28,neutral,376d728f.csv
172954,172954,1894.89,1899.89,6.439133e-16,3.5182334e-31,7.350656e-05,4.3792686e-10,1.3719852e-09,0.9998914,3.5035977e-05,5.8812118e-34,neutral,ce5afdbc.csv
47238,47238,1205.371,1210.371,8.713665e-11,3.3500358e-34,7.1854556e-05,7.6756216e-05,9.143617e-07,0.9998286,2.1845646e-05,1.2134378e-25,neutral,376d728f.csv
107728,107728,510.0,515.0,4.3901065e-07,0.0,8.168803e-05,3.0295277e-07,0.00067608024,0.9992415,6.1576705e-10,1.2862871e-28,neutral,81b77b75.csv
66362,66362,993.288,998.288,6.899164e-09,7.685911e-12,0.00028608844,5.221782e-07,1.2934152e-05,0.998796,0.0009044343,4.6177467e-17,neutral,51f70d17.csv
