,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
185655,185655,1164.061,1169.061,1.4716648000000002e-38,0.0,4.3634887e-12,1.3618049e-08,1.2178166e-15,1.9556967e-10,1.0,0.0,sad,d8a2a1a1.csv
5117,5117,1076.131,1081.131,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,05785b3a.csv
5118,5118,1081.131,1086.131,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,05785b3a.csv
16153,16153,757.083,762.083,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,14c01285.csv
124218,124218,1300.92,1305.92,1.1964128599999999e-32,0.0,1.5306555e-10,1.2739385e-07,4.2218854e-13,2.8663601e-08,0.9999999,0.0,sad,9760446d.csv
210734,210734,2460.8,2465.8,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,f5234a1d.csv
210735,210735,2465.8,2470.8,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,f5234a1d.csv
215774,215774,540.8199999999999,545.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
215824,215824,790.8199999999999,795.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
215827,215827,805.8199999999999,810.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
215828,215828,810.8199999999999,815.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
215834,215834,840.8199999999999,845.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
215835,215835,845.8199999999999,850.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
215836,215836,850.8199999999999,855.8199999999999,3.7193282e-34,0.0,5.202518e-12,5.8212537e-09,7.008428e-14,1.255927e-07,0.9999999,0.0,sad,fa52789e.csv
