,Unnamed: 0,startTime,endTime,angry,calm,disgust,fear,happy,neutral,sad,surprise,predictedEmotion,file_name
2738,2738,1127.011,1132.011,6.411955e-33,0.0,3.6107873e-34,2.5563906e-12,1.2061812e-20,2.2323477e-32,7.092879e-11,1.0,surprise,01ec7ed9.csv
3333,3333,450.507,455.507,3.8632155e-18,1.21064e-33,1.3751335000000001e-21,2.6413566e-11,3.4320886e-16,1.265676e-24,1.4643684e-11,1.0,surprise,0218ccce.csv
3334,3334,455.507,460.507,1.1643857e-10,2.3159149999999998e-24,6.379835e-14,3.3505445e-09,6.196397e-13,5.160687e-18,1.2580321e-09,1.0,surprise,0218ccce.csv
41008,41008,175.0,180.0,0.0,0.0,0.0,1.7207872e-11,1.407213e-20,0.0,1.3961605e-13,1.0,surprise,31a9d3e8.csv
41102,41102,645.0,650.0,0.0,0.0,0.0,6.6814505e-09,7.386754e-35,0.0,1.5072127e-17,1.0,surprise,31a9d3e8.csv
57957,57957,817.352,822.352,7.913359000000001e-33,0.0,0.0,2.9680963e-12,4.5899532e-20,0.0,3.817604e-14,1.0,surprise,45e6e768.csv
57958,57958,822.352,827.352,0.0,0.0,0.0,6.967085e-14,2.6374440000000002e-23,0.0,8.107581e-16,1.0,surprise,45e6e768.csv
57964,57964,852.352,857.352,3.0366654e-22,0.0,8.666304000000001e-31,3.8820542e-09,1.3954204e-13,1.9601151e-32,1.7562117e-13,1.0,surprise,45e6e768.csv
58118,58118,1622.352,1627.352,1.1190825e-18,2.9562355e-28,1.2371558e-21,3.092325e-08,2.4149915e-13,1.0499044e-21,5.042964e-08,1.0,surprise,45e6e768.csv
58120,58120,1632.352,1637.352,0.0,0.0,0.0,1.8358743e-23,3.919153e-37,0.0,4.4820203e-27,1.0,surprise,45e6e768.csv
63411,63411,774.216,779.216,1.713575e-30,0.0,9.0941944e-33,1.3778771e-10,6.011010299999999e-18,2.750366e-30,7.554915e-10,1.0,surprise,4eaac912.csv
64967,64967,1649.59,1654.59,6.527427e-11,0.0,1.2002092e-21,5.7649828e-08,5.2653093e-16,5.0397048e-23,1.1314584e-17,1.0,surprise,50cb874d.csv
64993,64993,1779.59,1784.59,2.1135087999999998e-20,0.0,0.0,2.0009607e-13,7.696930000000001e-29,0.0,0.0,1.0,surprise,50cb874d.csv
65008,65008,1854.59,1859.59,6.3168795e-19,0.0,8.8567675e-32,5.9978488e-15,3.7781458e-26,1.6798457e-33,5.6776865e-26,1.0,surprise,50cb874d.csv
65037,65037,1999.59,2004.59,1.7850871000000003e-16,0.0,1.2535663e-33,4.669994e-13,3.324196e-25,9.600936e-36,1.5509551e-27,1.0,surprise,50cb874d.csv
65101,65101,2319.59,2324.59,1.4997523e-08,1.873119e-31,7.82853e-09,1.7647296e-14,1.4521177e-17,1.3725188e-13,4.0309817e-20,1.0,surprise,50cb874d.csv
120632,120632,360.0,365.0,1.2286531e-09,3.076218e-34,3.0837786e-08,2.4075561e-12,8.210569e-09,3.6002466000000003e-22,2.062214e-14,1.0,surprise,92999976.csv
178447,178447,665.0,670.0,0.0,0.0,0.0,3.9814523e-12,1.6852474e-21,0.0,2.0194066e-13,1.0,surprise,d2b247f4.csv
